date,instrument,hypothesis,strike,option_type,entry,exit,quantity,exit_reason,pnl,pnl_pct,regime
2008-01-21,NIFTY,BULL,5600,CE,5610.26,5438.08,75,EOD,-12913.5,-1.291,GFC_BEAR
2008-01-22,NIFTY,BEAR,5450,PE,5456.39,5454.09,75,EOD,172.5,0.017,GFC_BEAR
2008-01-23,NIFTY,BEAR,5450,PE,5452.09,5718.96,75,EOD,-20015.25,-2.027,GFC_BEAR
2008-01-24,NIFTY,BULL,5700,CE,5708.36,5365.87,75,EOD,-25686.75,-2.656,GFC_BEAR
2008-01-25,NIFTY,BEAR,5400,PE,5412.93,4765.817142857143,75,T1_HIT,48533.46,5.155,GFC_BEAR
2008-01-28,NIFTY,BEAR,4850,PE,4829.31,5252.03,75,EOD,-31704.0,-3.202,GFC_BEAR
2008-01-29,NIFTY,BULL,5150,CE,5172.56,5258.27,75,EOD,6428.25,0.671,GFC_BEAR
2008-01-30,NIFTY,BULL,5350,CE,5347.23,5281.66,75,EOD,-4917.75,-0.510,GFC_BEAR
2008-01-31,NIFTY,BEAR,5150,PE,5173.72,5657.06,75,EOD,-36250.5,-3.776,GFC_BEAR
2008-02-01,NIFTY,BULL,5550,CE,5570.98,5261.79,75,EOD,-23189.25,-2.511,GFC_BEAR
2008-02-04,NIFTY,BEAR,5300,PE,5282.54,5117.34,75,EOD,12390.0,1.376,GFC_BEAR
2008-02-05,NIFTY,BEAR,5050,PE,5047.59,5775.15,75,EOD,-54567.0,-5.978,GFC_BEAR
2008-02-06,NIFTY,BULL,5850,CE,5856.11,5596.11,75,EOD,-19500.0,-2.272,GFC_BEAR
2008-02-07,NIFTY,BEAR,5600,PE,5612.89,5460.78,75,EOD,11408.25,1.360,GFC_BEAR
2008-02-08,NIFTY,BEAR,5500,PE,5495.73,5471.95,75,EOD,1783.5,0.210,GFC_BEAR
2008-02-11,NIFTY,BEAR,5550,PE,5530.82,5074.56,75,EOD,34219.5,4.017,GFC_BEAR
2008-02-12,NIFTY,BEAR,5000,PE,4982.96,5019.82,75,EOD,-2764.5,-0.312,GFC_BEAR
2008-02-13,NIFTY,BULL,5050,CE,5044.57,5363.04,75,EOD,23885.25,2.704,GFC_BEAR
2008-02-14,NIFTY,BULL,5500,CE,5514.42,5348.56,75,EOD,-12439.5,-1.371,GFC_BEAR
2008-02-15,NIFTY,BEAR,5500,PE,5497.84,5599.65,75,EOD,-7635.75,-0.853,GFC_BEAR
2008-02-18,NIFTY,BULL,5600,CE,5603.95,5428.2,75,EOD,-13181.25,-1.486,GFC_BEAR
2008-02-19,NIFTY,BEAR,5350,PE,5361.46,5396.91,75,EOD,-2658.75,-0.304,GFC_BEAR
2008-02-20,NIFTY,BULL,5350,CE,5360.8,5062.11,75,EOD,-22401.75,-2.571,GFC_BEAR
