date,instrument,hypothesis,strike,option_type,entry,exit,quantity,exit_reason,pnl,pnl_pct,regime
2010-01-04,NIFTY,BEAR,5750,PE,5750.83,5585.26,75,EOD,12417.75,1.242,RECOVERY
2010-01-05,NIFTY,BEAR,5550,PE,5552.04,5625.24,75,EOD,-5490.0,-0.542,RECOVERY
2010-01-07,NIFTY,BEAR,5600,PE,5588.23,5634.91,75,EOD,-3501.0,-0.348,RECOVERY
2010-01-08,NIFTY,BULL,5600,CE,5612.22,5543.56,75,EOD,-5149.5,-0.513,RECOVERY
2010-01-12,NIFTY,BULL,5700,CE,5699.88,5656.67,75,EOD,-3240.75,-0.325,RECOVERY
2010-01-13,NIFTY,BEAR,5650,PE,5665.23,5818.56,75,EOD,-11499.75,-1.156,RECOVERY
2010-01-14,NIFTY,BULL,5850,CE,5834.0,5840.86,75,EOD,514.5,0.052,RECOVERY
2010-01-15,NIFTY,BULL,5850,CE,5852.22,5731.77,75,EOD,-9033.75,-0.918,RECOVERY
2010-01-19,NIFTY,BULL,5850,CE,5863.87,5779.88,75,EOD,-6299.25,-0.646,RECOVERY
2010-01-20,NIFTY,BEAR,5800,PE,5778.78,5668.37,75,EOD,8280.75,0.855,RECOVERY
2010-01-21,NIFTY,BEAR,5650,PE,5649.71,5642.16,75,EOD,566.25,0.058,RECOVERY
2010-01-22,NIFTY,BEAR,5600,PE,5606.43,5642.48,75,EOD,-2703.75,-0.277,RECOVERY
2010-01-27,NIFTY,BEAR,5550,PE,5560.54,5691.17,75,EOD,-9797.25,-1.005,RECOVERY
2010-01-28,NIFTY,BULL,5700,CE,5690.53,5607.44,75,EOD,-6231.75,-0.646,RECOVERY
2010-02-01,NIFTY,BEAR,5550,PE,5549.26,5583.02,75,EOD,-2532.0,-0.264,RECOVERY
2010-02-03,NIFTY,BULL,5600,CE,5596.28,5644.63,75,EOD,3626.25,0.379,RECOVERY
2010-02-04,NIFTY,BULL,5650,CE,5632.26,5697.38,75,EOD,4884.0,0.509,RECOVERY
2010-02-05,NIFTY,BULL,5700,CE,5678.33,5566.37,75,EOD,-8397.0,-0.870,RECOVERY
2010-02-09,NIFTY,BULL,5650,CE,5625.13,5531.38,75,EOD,-7031.25,-0.735,RECOVERY
2010-02-10,NIFTY,BEAR,5500,PE,5512.39,5628.57,75,EOD,-8713.5,-0.918,RECOVERY
2010-02-12,NIFTY,BEAR,5650,PE,5627.36,5644.29,75,EOD,-1269.75,-0.135,RECOVERY
2010-02-15,NIFTY,BULL,5650,CE,5635.38,5578.82,75,EOD,-4242.0,-0.452,RECOVERY
2010-02-16,NIFTY,BEAR,5600,PE,5587.39,5429.46,75,EOD,11844.75,1.267,RECOVERY
2010-02-17,NIFTY,BEAR,5400,PE,5415.49,5374.04,75,EOD,3108.75,0.328,RECOVERY
2010-02-18,NIFTY,BEAR,5400,PE,5385.41,5407.57,75,EOD,-1662.0,-0.175,RECOVERY
2010-02-22,NIFTY,BULL,5400,CE,5424.23,5422.07,75,EOD,-162.0,-0.017,RECOVERY
2010-02-24,NIFTY,BEAR,5350,PE,5332.3,5409.55,75,EOD,-5793.75,-0.611,RECOVERY
2010-02-26,NIFTY,BEAR,5400,PE,5397.08,5393.58,75,EOD,262.5,0.028,RECOVERY
2010-03-01,NIFTY,BEAR,5400,PE,5384.41,5516.81,75,EOD,-9930.0,-1.053,RECOVERY
2010-03-03,NIFTY,BULL,5700,CE,5698.75,5919.7128571428575,75,T1_HIT,16572.21,1.777,RECOVERY
2010-03-04,NIFTY,BULL,5850,CE,5862.62,5885.34,75,EOD,1704.0,0.179,RECOVERY
2010-03-05,NIFTY,BULL,5900,CE,5877.81,5925.43,75,EOD,3571.5,0.376,RECOVERY
2010-03-08,NIFTY,BULL,5900,CE,5921.39,5917.25,75,EOD,-310.5,-0.033,RECOVERY
2010-03-10,NIFTY,BEAR,5850,PE,5874.69,5858.62,75,EOD,1205.25,0.126,RECOVERY
2010-03-11,NIFTY,BEAR,5850,PE,5867.33,5939.52,75,EOD,-5414.25,-0.567,RECOVERY
2010-03-15,NIFTY,BEAR,5950,PE,5952.72,5957.32,75,EOD,-345.0,-0.036,RECOVERY
2010-03-16,NIFTY,BULL,5950,CE,5931.4,6090.65,75,EOD,11943.75,1.257,RECOVERY
2010-03-17,NIFTY,BULL,6100,CE,6089.97,6081.9,75,EOD,-605.25,-0.063,RECOVERY
2010-03-19,NIFTY,BEAR,6100,PE,6080.64,5880.537857142857,75,T1_HIT,15007.66,1.561,RECOVERY
2010-03-22,NIFTY,BEAR,5950,PE,5965.29,5953.26,75,EOD,902.25,0.092,RECOVERY
2010-03-23,NIFTY,BEAR,5950,PE,5963.52,5929.26,75,EOD,2569.5,0.263,RECOVERY
2010-03-24,NIFTY,BEAR,5950,PE,5960.98,5768.366071428571,75,T1_HIT,14446.04,1.475,RECOVERY
2010-03-25,NIFTY,BEAR,5800,PE,5824.27,5893.71,75,EOD,-5208.0,-0.524,RECOVERY
2010-03-29,NIFTY,BULL,5950,CE,5947.57,5958.37,75,EOD,810.0,0.082,RECOVERY
2010-03-30,NIFTY,BULL,5950,CE,5962.39,5938.07,75,EOD,-1824.0,-0.184,RECOVERY
2010-04-01,NIFTY,BEAR,5800,PE,5808.7,5692.72,75,EOD,8698.5,0.881,RECOVERY
2010-04-02,NIFTY,BEAR,5700,PE,5708.8,5792.38,75,EOD,-6268.5,-0.629,RECOVERY
2010-04-06,NIFTY,BEAR,5750,PE,5772.03,5807.86,75,EOD,-2687.25,-0.271,RECOVERY
2010-04-07,NIFTY,BULL,5800,CE,5817.96,5760.82,75,EOD,-4285.5,-0.434,RECOVERY
2010-04-09,NIFTY,BEAR,5700,PE,5694.03,5693.93,75,EOD,7.5,0.001,RECOVERY
2010-04-12,NIFTY,BEAR,5650,PE,5666.52,5784.3,75,EOD,-8833.5,-0.898,RECOVERY
2010-04-14,NIFTY,BEAR,5800,PE,5801.39,5696.03,75,EOD,7902.0,0.811,RECOVERY
2010-04-15,NIFTY,BEAR,5700,PE,5691.67,5761.48,75,EOD,-5235.75,-0.533,RECOVERY
2010-04-19,NIFTY,BULL,5800,CE,5790.2,5874.73,75,EOD,6339.75,0.649,RECOVERY
2010-04-20,NIFTY,BULL,5900,CE,5891.77,5928.9,75,EOD,2784.75,0.283,RECOVERY
2010-04-21,NIFTY,BULL,5900,CE,5877.39,5819.29,75,EOD,-4357.5,-0.442,RECOVERY
2010-04-23,NIFTY,BULL,5850,CE,5858.69,5763.51,75,EOD,-7138.5,-0.727,RECOVERY
2010-04-26,NIFTY,BEAR,5800,PE,5816.64,5701.39,75,EOD,8643.75,0.887,RECOVERY
2010-04-27,NIFTY,BEAR,5700,PE,5687.14,5910.52,75,EOD,-16753.5,-1.704,RECOVERY
2010-04-29,NIFTY,BEAR,5750,PE,5771.72,5748.75,75,EOD,1722.75,0.178,RECOVERY
2010-04-30,NIFTY,BEAR,5800,PE,5776.15,5551.308571428571,75,T1_HIT,16863.11,1.741,RECOVERY
2010-05-03,NIFTY,BEAR,5550,PE,5568.92,5609.67,75,EOD,-3056.25,-0.310,RECOVERY
2010-05-05,NIFTY,BULL,5700,CE,5677.18,5719.89,75,EOD,3203.25,0.326,RECOVERY
2010-05-06,NIFTY,BULL,5750,CE,5739.32,5776.5,75,EOD,2788.5,0.283,RECOVERY
2010-05-07,NIFTY,BULL,5800,CE,5785.38,5923.27,75,EOD,10341.75,1.047,RECOVERY
2010-05-10,NIFTY,BULL,5950,CE,5926.63,5823.76,75,EOD,-7715.25,-0.773,RECOVERY
2010-05-12,NIFTY,BEAR,5750,PE,5730.98,5826.13,75,EOD,-7136.25,-0.720,RECOVERY
2010-05-14,NIFTY,BULL,5950,CE,5933.59,5882.6,75,EOD,-3824.25,-0.389,RECOVERY
2010-05-18,NIFTY,BULL,5900,CE,5902.52,5889.34,75,EOD,-988.5,-0.101,RECOVERY
2010-05-19,NIFTY,BEAR,5900,PE,5907.14,5931.61,75,EOD,-1835.25,-0.187,RECOVERY
2010-05-20,NIFTY,BULL,5900,CE,5904.56,5852.09,75,EOD,-3935.25,-0.403,RECOVERY
2010-05-24,NIFTY,BULL,5850,CE,5854.21,5898.17,75,EOD,3297.0,0.339,RECOVERY
2010-05-25,NIFTY,BULL,5900,CE,5882.43,5634.61,75,EOD,-18586.5,-1.904,RECOVERY
2010-05-27,NIFTY,BEAR,5600,PE,5608.75,5489.73,75,EOD,8926.5,0.932,RECOVERY
2010-05-28,NIFTY,BEAR,5450,PE,5460.73,5657.23,75,EOD,-14737.5,-1.524,RECOVERY
2010-06-01,NIFTY,BULL,5750,CE,5732.09,5674.17,75,EOD,-4344.0,-0.456,RECOVERY
2010-06-03,NIFTY,BEAR,5650,PE,5642.36,5533.42,75,EOD,8170.5,0.862,RECOVERY
2010-06-04,NIFTY,BEAR,5550,PE,5537.44,5556.39,75,EOD,-1421.25,-0.149,RECOVERY
2010-06-08,NIFTY,BULL,5600,CE,5609.52,5510.07,75,EOD,-7458.75,-0.782,RECOVERY
2010-06-10,NIFTY,BEAR,5450,PE,5458.67,5491.85,75,EOD,-2488.5,-0.263,RECOVERY
2010-06-14,NIFTY,BEAR,5450,PE,5439.16,5411.58,75,EOD,2068.5,0.219,RECOVERY
2010-06-15,NIFTY,BEAR,5400,PE,5413.19,5382.97,75,EOD,2266.5,0.239,RECOVERY
2010-06-16,NIFTY,BEAR,5400,PE,5376.74,5444.47,75,EOD,-5079.75,-0.535,RECOVERY
2010-06-18,NIFTY,BULL,5550,CE,5539.95,5561.1,75,EOD,1586.25,0.168,RECOVERY
2010-06-21,NIFTY,BULL,5550,CE,5558.92,5559.12,75,EOD,15.0,0.002,RECOVERY
2010-06-22,NIFTY,BULL,5550,CE,5560.79,5491.78,75,EOD,-5175.75,-0.548,RECOVERY
2010-06-24,NIFTY,BEAR,5350,PE,5373.95,5318.82,75,EOD,4134.75,0.440,RECOVERY
2010-06-25,NIFTY,BEAR,5300,PE,5279.98,5372.27,75,EOD,-6921.75,-0.733,RECOVERY
2010-06-29,NIFTY,BULL,5450,CE,5441.24,5527.14,75,EOD,6442.5,0.687,RECOVERY
2010-06-30,NIFTY,BULL,5500,CE,5521.14,5551.35,75,EOD,2265.75,0.240,RECOVERY
2010-07-01,NIFTY,BULL,5500,CE,5509.11,5572.26,75,EOD,4736.25,0.501,RECOVERY
2010-07-02,NIFTY,BULL,5550,CE,5572.05,5661.33,75,EOD,6696.0,0.704,RECOVERY
2010-07-05,NIFTY,BULL,5650,CE,5633.96,5537.5,75,EOD,-7234.5,-0.756,RECOVERY
2010-07-07,NIFTY,BEAR,5500,PE,5493.12,5455.18,75,EOD,2845.5,0.299,RECOVERY
2010-07-08,NIFTY,BEAR,5450,PE,5457.39,5385.79,75,EOD,5370.0,0.563,RECOVERY
2010-07-09,NIFTY,BEAR,5400,PE,5403.56,5403.02,75,EOD,40.5,0.004,RECOVERY
2010-07-12,NIFTY,BEAR,5400,PE,5421.19,5609.27,75,EOD,-14106.0,-1.472,RECOVERY
2010-07-14,NIFTY,BEAR,5450,PE,5446.93,5401.66,75,EOD,3395.25,0.360,RECOVERY
2010-07-15,NIFTY,BEAR,5400,PE,5376.04,5395.54,75,EOD,-1462.5,-0.154,RECOVERY
2010-07-19,NIFTY,BULL,5450,CE,5437.61,5492.83,75,EOD,4141.5,0.438,RECOVERY
2010-07-20,NIFTY,BULL,5500,CE,5495.85,5408.24,75,EOD,-6570.75,-0.691,RECOVERY
2010-07-22,NIFTY,BEAR,5400,PE,5418.41,5468.2,75,EOD,-3734.25,-0.396,RECOVERY
2010-07-26,NIFTY,BULL,5450,CE,5461.48,5618.8,75,EOD,11799.0,1.255,RECOVERY
2010-07-27,NIFTY,BULL,5600,CE,5608.96,5482.88,75,EOD,-9456.0,-0.993,RECOVERY
2010-07-29,NIFTY,BEAR,5400,PE,5376.39,5531.86,75,EOD,-11660.25,-1.237,RECOVERY
2010-08-02,NIFTY,BEAR,5550,PE,5539.64,5522.28,75,EOD,1302.0,0.140,RECOVERY
2010-08-03,NIFTY,BEAR,5500,PE,5519.23,5450.91,75,EOD,5124.0,0.550,RECOVERY
2010-08-04,NIFTY,BEAR,5400,PE,5419.41,5327.16,75,EOD,6918.75,0.738,RECOVERY
2010-08-05,NIFTY,BEAR,5350,PE,5334.0,5360.65,75,EOD,-1998.75,-0.212,RECOVERY
2010-08-09,NIFTY,BULL,5500,CE,5514.38,5520.38,75,EOD,450.0,0.048,RECOVERY
2010-08-10,NIFTY,BULL,5500,CE,5519.35,5555.34,75,EOD,2699.25,0.286,RECOVERY
2010-08-11,NIFTY,BULL,5600,CE,5589.89,5537.85,75,EOD,-3903.0,-0.413,RECOVERY
2010-08-13,NIFTY,BULL,5500,CE,5502.09,5534.66,75,EOD,2442.75,0.259,RECOVERY
2010-08-16,NIFTY,BULL,5500,CE,5517.72,5492.62,75,EOD,-1882.5,-0.199,RECOVERY
2010-08-18,NIFTY,BULL,5500,CE,5496.48,5621.58,75,EOD,9382.5,0.996,RECOVERY
2010-08-19,NIFTY,BULL,5650,CE,5666.58,5457.12,75,EOD,-15709.5,-1.651,RECOVERY
2010-08-23,NIFTY,BEAR,5350,PE,5337.01,5375.54,75,EOD,-2889.75,-0.309,RECOVERY
2010-08-25,NIFTY,BULL,5400,CE,5401.25,5435.96,75,EOD,2603.25,0.279,RECOVERY
2010-08-26,NIFTY,BULL,5450,CE,5426.82,5408.78,75,EOD,-1353.0,-0.145,RECOVERY
2010-08-30,NIFTY,BULL,5500,CE,5475.79,5443.26,75,EOD,-2439.75,-0.261,RECOVERY
2010-08-31,NIFTY,BEAR,5400,PE,5389.92,5506.41,75,EOD,-8736.75,-0.938,RECOVERY
2010-09-02,NIFTY,BEAR,5350,PE,5331.34,5230.88,75,EOD,7534.5,0.816,RECOVERY
2010-09-03,NIFTY,BEAR,5250,PE,5233.26,5061.49,75,EOD,12882.75,1.385,RECOVERY
2010-09-06,NIFTY,BEAR,5050,PE,5063.91,5196.52,75,EOD,-9945.75,-1.054,RECOVERY
2010-09-08,NIFTY,BEAR,5150,PE,5161.14,5276.53,75,EOD,-8654.25,-0.927,RECOVERY
2010-09-09,NIFTY,BULL,5300,CE,5281.4,5131.72,75,EOD,-11226.0,-1.214,RECOVERY
2010-09-13,NIFTY,BULL,5250,CE,5229.43,5170.72,75,EOD,-4403.25,-0.482,RECOVERY
2010-09-14,NIFTY,BEAR,5150,PE,5144.66,5288.26,75,EOD,-10770.0,-1.185,RECOVERY
2010-09-15,NIFTY,BULL,5350,CE,5325.53,5340.55,75,EOD,1126.5,0.125,RECOVERY
2010-09-16,NIFTY,BULL,5350,CE,5340.2,5268.05,75,EOD,-5411.25,-0.602,RECOVERY
2010-09-20,NIFTY,BEAR,5200,PE,5181.92,5151.61,75,EOD,2273.25,0.254,RECOVERY
2010-09-21,NIFTY,BEAR,5150,PE,5159.78,5108.34,75,EOD,3858.0,0.430,RECOVERY
2010-09-22,NIFTY,BEAR,5100,PE,5121.5,5101.09,75,EOD,1530.75,0.170,RECOVERY
2010-09-23,NIFTY,BEAR,5100,PE,5082.21,5135.12,75,EOD,-3968.25,-0.440,RECOVERY
2010-09-27,NIFTY,BULL,5200,CE,5216.74,5143.48,75,EOD,-5494.5,-0.612,RECOVERY
2010-09-29,NIFTY,BEAR,5050,PE,5040.25,5003.0,75,EOD,2793.75,0.313,RECOVERY
2010-09-30,NIFTY,BEAR,5000,PE,5004.31,5039.08,75,EOD,-2607.75,-0.291,RECOVERY
2010-10-04,NIFTY,BEAR,4950,PE,4950.62,4982.57,75,EOD,-2396.25,-0.269,RECOVERY
2010-10-05,NIFTY,BULL,4950,CE,4967.32,5016.68,75,EOD,3702.0,0.416,RECOVERY
2010-10-06,NIFTY,BULL,5000,CE,5022.05,5055.05,75,EOD,2475.0,0.277,RECOVERY
2010-10-07,NIFTY,BULL,5000,CE,5015.8,5157.22,75,EOD,10606.5,1.184,RECOVERY
2010-10-08,NIFTY,BULL,5150,CE,5152.46,5230.91,75,EOD,5883.75,0.649,RECOVERY
2010-10-11,NIFTY,BULL,5250,CE,5242.44,5087.39,75,EOD,-11628.75,-1.274,RECOVERY
2010-10-13,NIFTY,BULL,5150,CE,5128.06,5182.03,75,EOD,4047.75,0.449,RECOVERY
2010-10-14,NIFTY,BULL,5200,CE,5211.65,5161.6,75,EOD,-3753.75,-0.415,RECOVERY
2010-10-18,NIFTY,BEAR,5050,PE,5061.34,4860.154642857143,75,T1_HIT,15088.9,1.674,RECOVERY
2010-10-19,NIFTY,BEAR,4850,PE,4844.16,4803.74,75,EOD,3031.5,0.331,RECOVERY
2010-10-20,NIFTY,BEAR,4800,PE,4794.85,4689.46,75,EOD,7904.25,0.860,RECOVERY
2010-10-21,NIFTY,BEAR,4700,PE,4699.8,4691.2,75,EOD,645.0,0.070,RECOVERY
2010-10-22,NIFTY,BEAR,4650,PE,4669.03,4833.28,75,EOD,-12318.75,-1.327,RECOVERY
2010-10-26,NIFTY,BULL,4900,CE,4909.73,4939.89,75,EOD,2262.0,0.247,RECOVERY
2010-10-27,NIFTY,BULL,4950,CE,4971.47,4964.7,75,EOD,-507.75,-0.055,RECOVERY
2010-10-29,NIFTY,BULL,4950,CE,4956.12,5056.84,75,EOD,7554.0,0.823,RECOVERY
2010-11-01,NIFTY,BULL,5050,CE,5064.83,5141.05,75,EOD,5716.5,0.618,RECOVERY
2010-11-02,NIFTY,BULL,5150,CE,5155.64,5031.15,75,EOD,-9336.75,-1.003,RECOVERY
2010-11-04,NIFTY,BULL,5100,CE,5109.08,4965.78,75,EOD,-10747.5,-1.166,RECOVERY
2010-11-05,NIFTY,BEAR,4950,PE,4933.94,5036.26,75,EOD,-7674.0,-0.843,RECOVERY
2010-11-09,NIFTY,BULL,5150,CE,5150.53,4962.39,75,EOD,-14110.5,-1.563,RECOVERY
2010-11-11,NIFTY,BULL,5100,CE,5092.79,5098.52,75,EOD,429.75,0.048,RECOVERY
2010-11-12,NIFTY,BULL,5100,CE,5096.77,5053.31,75,EOD,-3259.5,-0.367,RECOVERY
2010-11-16,NIFTY,BULL,5150,CE,5137.57,5197.43,75,EOD,4489.5,0.507,RECOVERY
2010-11-17,NIFTY,BULL,5200,CE,5208.84,5295.74,75,EOD,6517.5,0.732,RECOVERY
2010-11-18,NIFTY,BULL,5300,CE,5297.42,5542.068928571429,75,T1_HIT,18348.67,2.046,RECOVERY
2010-11-19,NIFTY,BULL,5500,CE,5487.25,5481.59,75,EOD,-424.5,-0.046,RECOVERY
2010-11-23,NIFTY,BULL,5550,CE,5549.82,5485.3,75,EOD,-4839.0,-0.529,RECOVERY
2010-11-24,NIFTY,BEAR,5500,PE,5484.72,5539.28,75,EOD,-4092.0,-0.450,RECOVERY
2010-11-26,NIFTY,BULL,5500,CE,5524.92,5437.62,75,EOD,-6547.5,-0.723,RECOVERY
2010-11-30,NIFTY,BEAR,5400,PE,5399.03,5447.53,75,EOD,-3637.5,-0.404,RECOVERY
2010-12-02,NIFTY,BEAR,5350,PE,5366.8,5392.43,75,EOD,-1922.25,-0.215,RECOVERY
2010-12-06,NIFTY,BULL,5400,CE,5406.2,5388.69,75,EOD,-1313.25,-0.147,RECOVERY
2010-12-08,NIFTY,BULL,5450,CE,5430.63,5357.46,75,EOD,-5487.75,-0.615,RECOVERY
2010-12-09,NIFTY,BEAR,5350,PE,5334.44,5358.11,75,EOD,-1775.25,-0.200,RECOVERY
2010-12-13,NIFTY,BULL,5450,CE,5455.31,5536.87,75,EOD,6117.0,0.691,RECOVERY
2010-12-14,NIFTY,BULL,5550,CE,5539.04,5534.3,75,EOD,-355.5,-0.040,RECOVERY
2010-12-16,NIFTY,BEAR,5500,PE,5476.86,5467.83,75,EOD,677.25,0.076,RECOVERY
2010-12-17,NIFTY,BEAR,5450,PE,5467.04,5533.47,75,EOD,-4982.25,-0.559,RECOVERY
2010-12-21,NIFTY,BULL,5550,CE,5559.24,5567.08,75,EOD,588.0,0.066,RECOVERY
2010-12-22,NIFTY,BULL,5600,CE,5586.71,5540.49,75,EOD,-3466.5,-0.391,RECOVERY
2010-12-24,NIFTY,BULL,5500,CE,5507.53,5443.74,75,EOD,-4784.25,-0.541,RECOVERY
2010-12-27,NIFTY,BEAR,5450,PE,5457.13,5567.79,75,EOD,-8299.5,-0.944,RECOVERY
2010-12-29,NIFTY,BEAR,5450,PE,5468.05,5408.6,75,EOD,4458.75,0.512,RECOVERY
2010-12-30,NIFTY,BEAR,5400,PE,5406.0,5408.85,75,EOD,-213.75,-0.024,RECOVERY
2011-01-03,NIFTY,BEAR,5350,PE,5347.43,5415.28,75,EOD,-5088.75,-0.582,MODERATE_BULL
2011-01-04,NIFTY,BULL,5450,CE,5426.57,5447.4,75,EOD,1562.25,0.180,MODERATE_BULL
2011-01-05,NIFTY,BULL,5450,CE,5447.66,5571.06,75,EOD,9255.0,1.062,MODERATE_BULL
2011-01-06,NIFTY,BULL,5550,CE,5565.2,5605.82,75,EOD,3046.5,0.346,MODERATE_BULL
2011-01-07,NIFTY,BULL,5600,CE,5576.2,5777.390714285714,75,T1_HIT,15089.3,1.707,MODERATE_BULL
2011-01-10,NIFTY,BULL,5750,CE,5729.73,5667.71,75,EOD,-4651.5,-0.517,MODERATE_BULL
2011-01-12,NIFTY,BULL,5750,CE,5744.11,5911.97,75,EOD,12589.5,1.408,MODERATE_BULL
2011-01-13,NIFTY,BULL,5900,CE,5891.49,5915.51,75,EOD,1801.5,0.199,MODERATE_BULL
2011-01-14,NIFTY,BULL,5900,CE,5920.9,5746.72,75,EOD,-13063.5,-1.438,MODERATE_BULL
2011-01-18,NIFTY,BEAR,5700,PE,5683.77,5805.61,75,EOD,-9138.0,-1.020,MODERATE_BULL
2011-01-20,NIFTY,BEAR,5750,PE,5739.5,5466.6221428571425,75,T1_HIT,20465.84,2.309,MODERATE_BULL
2011-01-21,NIFTY,BEAR,5400,PE,5418.78,5467.03,75,EOD,-3618.75,-0.399,MODERATE_BULL
2011-01-25,NIFTY,BEAR,5400,PE,5412.59,5483.76,75,EOD,-5337.75,-0.591,MODERATE_BULL
2011-01-27,NIFTY,BULL,5450,CE,5441.78,5629.64,75,EOD,14089.5,1.569,MODERATE_BULL
2011-01-28,NIFTY,BULL,5600,CE,5622.6,5682.62,75,EOD,4501.5,0.494,MODERATE_BULL
2011-01-31,NIFTY,BULL,5650,CE,5655.32,5573.58,75,EOD,-6130.5,-0.669,MODERATE_BULL
2011-02-02,NIFTY,BEAR,5500,PE,5475.72,5588.21,75,EOD,-8436.75,-0.927,MODERATE_BULL
2011-02-04,NIFTY,BULL,5800,CE,5808.19,5601.46,75,EOD,-15504.75,-1.719,MODERATE_BULL
2011-02-08,NIFTY,BEAR,5400,PE,5393.16,5609.44,75,EOD,-16221.0,-1.830,MODERATE_BULL
2011-02-10,NIFTY,BULL,5750,CE,5735.62,5722.22,75,EOD,-1005.0,-0.115,MODERATE_BULL
2011-02-14,NIFTY,BEAR,5650,PE,5632.64,5786.82,75,EOD,-11563.5,-1.330,MODERATE_BULL
2011-02-16,NIFTY,BEAR,5500,PE,5489.23,5399.56,75,EOD,6725.25,0.784,MODERATE_BULL
2011-02-17,NIFTY,BEAR,5400,PE,5384.45,5436.95,75,EOD,-3937.5,-0.456,MODERATE_BULL
2011-02-21,NIFTY,BEAR,5200,PE,5216.37,5216.92,75,EOD,-41.25,-0.005,MODERATE_BULL
2011-02-22,NIFTY,BULL,5200,CE,5212.98,5086.4,75,EOD,-9493.5,-1.103,MODERATE_BULL
2011-02-24,NIFTY,BULL,5300,CE,5285.21,5351.51,75,EOD,4972.5,0.584,MODERATE_BULL
2011-02-25,NIFTY,BULL,5350,CE,5370.85,5134.12,75,EOD,-17754.75,-2.074,MODERATE_BULL
2011-03-01,NIFTY,BEAR,5000,PE,5009.38,4832.53,75,EOD,13263.75,1.582,MODERATE_BULL
2011-03-02,NIFTY,BEAR,4850,PE,4856.22,4762.63,75,EOD,7019.25,0.824,MODERATE_BULL
2011-03-03,NIFTY,BEAR,4750,PE,4769.0,4734.55,75,EOD,2583.75,0.301,MODERATE_BULL
2011-03-04,NIFTY,BEAR,4800,PE,4775.6,4831.69,75,EOD,-4206.75,-0.489,MODERATE_BULL
2011-03-08,NIFTY,BULL,4950,CE,4952.56,4915.9,75,EOD,-2749.5,-0.321,MODERATE_BULL
2011-03-10,NIFTY,BULL,4900,CE,4908.13,4864.52,75,EOD,-3270.75,-0.383,MODERATE_BULL
2011-03-14,NIFTY,BEAR,4800,PE,4819.32,4872.73,75,EOD,-4005.75,-0.471,MODERATE_BULL
2011-03-16,NIFTY,BULL,5000,CE,4996.41,4874.07,75,EOD,-9175.5,-1.084,MODERATE_BULL
2011-03-18,NIFTY,BULL,4900,CE,4913.71,4906.82,75,EOD,-516.75,-0.062,MODERATE_BULL
2011-03-22,NIFTY,BULL,4850,CE,4846.75,5084.463571428571,75,T1_HIT,17828.52,2.130,MODERATE_BULL
2011-03-23,NIFTY,BULL,5150,CE,5134.2,5060.99,75,EOD,-5490.75,-0.642,MODERATE_BULL
2011-03-25,NIFTY,BEAR,5050,PE,5040.34,4999.62,75,EOD,3054.0,0.360,MODERATE_BULL
2011-03-28,NIFTY,BEAR,5000,PE,5011.9,4929.11,75,EOD,6209.25,0.728,MODERATE_BULL
2011-03-29,NIFTY,BEAR,4900,PE,4918.11,4994.14,75,EOD,-5702.25,-0.664,MODERATE_BULL
2011-03-31,NIFTY,BEAR,4950,PE,4932.55,5027.42,75,EOD,-7115.25,-0.834,MODERATE_BULL
2011-04-01,NIFTY,BULL,5050,CE,5031.76,4902.4,75,EOD,-9702.0,-1.147,MODERATE_BULL
2011-04-05,NIFTY,BEAR,4800,PE,4809.18,4754.14,75,EOD,4128.0,0.494,MODERATE_BULL
2011-04-06,NIFTY,BEAR,4850,PE,4825.43,4930.98,75,EOD,-7916.25,-0.942,MODERATE_BULL
2011-04-08,NIFTY,BEAR,4850,PE,4825.13,4777.22,75,EOD,3593.25,0.432,MODERATE_BULL
2011-04-11,NIFTY,BEAR,4750,PE,4771.85,4830.8,75,EOD,-4421.25,-0.529,MODERATE_BULL
2011-04-13,NIFTY,BEAR,4650,PE,4627.69,4762.92,75,EOD,-10142.25,-1.220,MODERATE_BULL
2011-04-14,NIFTY,BULL,4750,CE,4756.95,4649.0,75,EOD,-8096.25,-0.986,MODERATE_BULL
2011-04-18,NIFTY,BULL,4650,CE,4652.38,4601.84,75,EOD,-3790.5,-0.466,MODERATE_BULL
2011-04-19,NIFTY,BEAR,4600,PE,4591.98,4537.62,75,EOD,4077.0,0.504,MODERATE_BULL
2011-04-20,NIFTY,BEAR,4550,PE,4547.73,4604.72,75,EOD,-4274.25,-0.525,MODERATE_BULL
