date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2023-01-03,BB,NIFTY,BEARISH,PE,18200,12:00:00,13:50:00,15.82,7.96,-49.68,-4598.1,60.27,-4658.37,-4658.37,5341.63,9254.7,585,STOP_LOSS,110,True,False
2023-01-03,BB,NIFTY,BULLISH,CE,18200,13:55:00,14:10:00,27.74,16.44,-40.74,-3672.5,61.21,-3733.71,-8392.08,1607.92,9015.5,325,STOP_LOSS,15,True,False
2023-01-10,BB,NIFTY,BEARISH,PE,17950,11:30:00,12:10:00,29.77,17.36,-41.69,-4033.25,62.09,-4095.34,-12487.42,-2487.42,9675.25,325,STOP_LOSS,40,True,False
2023-01-10,BB,NIFTY,BEARISH,PE,17900,12:45:00,13:25:00,23.06,13.73,-40.46,-3638.7,61.22,-3699.92,-16187.34,-6187.34,8993.4,390,STOP_LOSS,40,True,False
2023-01-10,BB,NIFTY,BEARISH,PE,17850,14:30:00,14:45:00,3.64,1.74,-52.2,-5187.0,60.84,-5247.84,-21435.18,-11435.18,9937.2,2730,STOP_LOSS,15,True,False
2023-01-10,BB,NIFTY,BULLISH,CE,17900,15:10:00,15:15:00,22.62,20.47,-9.5,-838.5,65.28,-903.78,-22338.96,-12338.96,8821.8,390,FORCE_CLOSE,5,True,False
2023-01-17,BB,NIFTY,BEARISH,PE,17950,12:55:00,13:35:00,13.47,5.07,-62.36,-6006.0,58.87,-6064.87,-28403.83,-18403.83,9631.05,715,STOP_LOSS,40,True,False
2023-01-17,BB,NIFTY,BULLISH,CE,18050,15:05:00,15:15:00,8.36,15.64,87.08,8517.6,82.22,8435.38,-19968.45,-9968.45,9781.2,1170,FORCE_CLOSE,10,True,False
2023-01-24,BB,NIFTY,BEARISH,PE,18100,13:35:00,14:30:00,13.27,4.92,-62.92,-5970.25,58.61,-6028.86,-25997.31,-15997.31,9488.05,715,STOP_LOSS,55,True,False
2023-01-31,BB,NIFTY,BULLISH,CE,17650,11:55:00,12:10:00,18.55,6.45,-65.23,-6292.0,58.45,-6350.45,-32347.76,-22347.76,9646.0,520,STOP_LOSS,15,True,False
2023-01-31,BB,NIFTY,BULLISH,CE,17650,13:20:00,14:05:00,26.67,6.03,-77.39,-6708.0,55.64,-6763.64,-39111.4,-29111.4,8667.75,325,STOP_LOSS,45,True,False
