date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2023-01-27,BLACKSWAN,NIFTY,BEARISH,PE,17500,14:05:00,14:30:00,6.25,1.67,-73.28,-14587.3,67.88,-14655.18,-14655.18,5344.82,19906.25,3185,STOP_LOSS,25,False,False
2023-02-01,BLACKSWAN,NIFTY,BEARISH,PE,17400,14:45:00,14:50:00,2.68,0.03,-98.88,-19636.5,59.77,-19696.27,-34351.45,-14351.45,19858.8,7410,STOP_LOSS,5,False,False
2023-03-10,BLACKSWAN,NIFTY,BEARISH,PE,17400,09:15:00,10:45:00,29.12,0.0,-100.0,-18928.0,58.84,-18986.84,-53338.29,-33338.29,18928.0,650,TIME_STOP,90,False,False
2023-12-04,BLACKSWAN,NIFTY,BULLISH,CE,20550,09:15:00,10:45:00,24.41,0.04,-99.84,-19008.6,58.96,-19067.56,-72405.85,-52405.85,19039.8,780,TIME_STOP,90,False,False
2023-12-15,BLACKSWAN,NIFTY,BULLISH,CE,21250,09:15:00,10:45:00,43.73,47.75,9.19,1829.1,93.88,1735.22,-70670.63,-50670.63,19897.15,455,TIME_STOP,90,False,False
2024-01-17,BLACKSWAN,NIFTY,BEARISH,PE,21850,09:15:00,10:45:00,36.0,105.25,192.36,36010.0,145.47,35864.53,-34806.1,-14806.1,18720.0,520,TIME_STOP,90,False,False
2024-01-23,BLACKSWAN,NIFTY,BEARISH,PE,21250,14:20:00,14:35:00,6.57,29.43,347.95,68351.4,198.77,68152.63,33346.53,53346.53,19644.3,2990,TARGET_HIT,15,True,False
2024-03-13,BLACKSWAN,NIFTY,BEARISH,PE,21950,14:15:00,14:45:00,7.4,4.14,-44.05,-8687.9,76.82,-8764.72,24581.81,44581.81,19721.0,2665,STOP_LOSS,30,False,False
2024-06-03,BLACKSWAN,NIFTY,BULLISH,CE,23150,09:15:00,09:40:00,36.14,18.16,-49.75,-9349.6,73.73,-9423.33,15158.48,35158.48,18792.8,520,STOP_LOSS,25,False,False
2024-06-04,BLACKSWAN,NIFTY,BEARISH,PE,22650,09:20:00,09:25:00,36.67,170.56,365.12,69622.8,199.51,69423.29,84581.77,104581.77,19068.4,520,TARGET_HIT,5,True,False
2024-06-05,BLACKSWAN,NIFTY,BULLISH,CE,22600,14:35:00,14:45:00,6.96,29.73,327.16,65122.2,194.22,64927.98,149509.75,169509.75,19905.6,2860,TARGET_HIT,10,False,False
2024-06-07,BLACKSWAN,NIFTY,BULLISH,CE,23300,14:45:00,15:20:00,5.07,1.9,-62.52,-12363.0,71.11,-12434.11,137075.64,157075.64,19773.0,3900,FORCE_CLOSE,35,False,False
2024-08-05,BLACKSWAN,NIFTY,BEARISH,PE,24300,09:15:00,09:55:00,37.64,22.41,-40.46,-7919.6,77.71,-7997.31,129078.33,149078.33,19572.8,520,STOP_LOSS,40,False,False
2024-09-13,BLACKSWAN,NIFTY,BULLISH,CE,25350,09:15:00,10:45:00,37.52,16.45,-56.16,-10956.4,72.76,-11029.16,118049.17,138049.17,19510.4,520,TIME_STOP,90,False,False
2024-10-04,BLACKSWAN,NIFTY,BEARISH,PE,25150,09:15:00,09:45:00,32.17,16.66,-48.21,-9073.35,74.22,-9147.57,108901.6,128901.6,18819.45,585,STOP_LOSS,30,False,False
2024-11-22,BLACKSWAN,NIFTY,BULLISH,CE,23900,14:15:00,14:25:00,10.14,2.05,-79.78,-15775.5,65.7,-15841.2,93060.4,113060.4,19773.0,1950,STOP_LOSS,10,False,False
2024-11-25,BLACKSWAN,NIFTY,BULLISH,CE,24300,09:15:00,09:55:00,33.91,19.23,-43.29,-8587.8,77.23,-8665.03,84395.37,104395.37,19837.35,585,STOP_LOSS,40,False,False
2025-01-03,BLACKSWAN,NIFTY,BULLISH,CE,24200,09:15:00,09:25:00,28.11,13.96,-50.34,-9197.5,72.82,-9270.32,75125.05,95125.05,18271.5,650,STOP_LOSS,10,False,False
2025-04-07,BLACKSWAN,NIFTY,BEARISH,PE,21900,09:15:00,09:20:00,40.57,2.52,-93.79,-17312.75,60.37,-17373.12,57751.93,77751.93,18459.35,455,STOP_LOSS,5,False,False
2025-04-15,BLACKSWAN,NIFTY,BULLISH,CE,23300,09:15:00,10:45:00,28.28,11.75,-58.45,-10744.5,70.61,-10815.11,46936.82,66936.82,18382.0,650,TIME_STOP,90,True,False
2025-04-21,BLACKSWAN,NIFTY,BULLISH,CE,23950,09:15:00,10:45:00,44.32,121.35,173.8,30041.7,132.85,29908.85,76845.67,96845.67,17284.8,390,TIME_STOP,90,False,False
2025-05-09,BLACKSWAN,NIFTY,BEARISH,PE,24100,09:15:00,10:00:00,30.26,125.12,313.48,61659.0,188.21,61470.79,138316.46,158316.46,19669.0,650,TARGET_HIT,45,False,False
2025-05-13,BLACKSWAN,NIFTY,BULLISH,CE,24850,09:15:00,09:20:00,50.68,14.79,-70.82,-13997.1,68.5,-14065.6,124250.86,144250.86,19765.2,390,STOP_LOSS,5,True,False
2025-05-16,BLACKSWAN,NIFTY,BULLISH,CE,25000,09:15:00,10:45:00,42.44,0.39,-99.08,-19132.75,59.36,-19192.11,105058.75,125058.75,19310.2,455,TIME_STOP,90,False,False
2025-06-13,BLACKSWAN,NIFTY,BEARISH,PE,24600,09:15:00,09:25:00,38.19,20.29,-46.87,-9308.0,76.14,-9384.14,95674.61,115674.61,19858.8,520,STOP_LOSS,10,False,False
