date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2023-01-05,W1,SENSEX,BEARISH,PE,60400,09:40:00,10:10:00,30.38,12.33,-59.43,-5777.71,57.09,-5834.8,-5834.8,44165.2,10000,320,STOP_LOSS,349,True,False
2023-01-05,W3,SENSEX,BULLISH,CE,60400,15:00:00,15:20:00,8.14,1.79,-78.04,-7746.78,54.69,-7801.47,-13636.27,36363.73,10000,1220,STOP_LOSS,29,True,False
2023-01-12,W2,SENSEX,BEARISH,PE,59600,13:20:00,13:30:00,5.96,22.08,270.28,26749.01,103.41,26645.6,13009.33,63009.33,10000,1660,TARGET_HIT,129,True,False
2023-02-02,W1,SENSEX,BULLISH,CE,60000,09:40:00,09:50:00,32.37,9.67,-70.13,-6811.2,55.61,-6866.81,6142.52,56142.52,10000,300,STOP_LOSS,349,True,False
2023-02-02,W3,SENSEX,BULLISH,CE,60000,14:50:00,14:55:00,9.55,0.43,-95.51,-9484.72,52.24,-9536.96,-3394.44,46605.56,10000,1040,STOP_LOSS,39,True,False
2023-02-16,W3,SENSEX,BEARISH,PE,61300,15:05:00,15:15:00,2.95,31.38,965.12,96097.59,201.58,95896.01,92501.57,142501.57,10000,3380,TARGET_HIT,24,True,False
2023-03-09,W2,SENSEX,BEARISH,PE,59800,13:35:00,15:10:00,6.71,29.12,333.78,33164.2,112.55,33051.65,125553.22,175553.22,10000,1480,TARGET_HIT,114,True,False
2023-03-09,W3,SENSEX,BEARISH,PE,59700,15:10:00,15:20:00,1.26,0.18,-85.77,-8576.41,53.65,-8630.06,116923.16,166923.16,10000,7920,STOP_LOSS,19,True,False
2023-03-16,W2,SENSEX,BEARISH,PE,57300,13:05:00,13:10:00,8.58,1.62,-81.15,-8074.02,54.27,-8128.29,108794.87,158794.87,10000,1160,STOP_LOSS,144,True,False
2023-03-16,W3,SENSEX,BEARISH,PE,57500,14:50:00,14:55:00,1.21,6.44,430.93,43051.36,126.64,42924.72,151719.59,201719.59,10000,8240,TARGET_HIT,39,True,False
2023-03-23,W2,SENSEX,BEARISH,PE,58100,13:45:00,14:10:00,6.46,23.13,257.95,25672.94,101.99,25570.95,177290.54,227290.54,10000,1540,TARGET_HIT,104,True,False
2023-04-13,W3,SENSEX,BULLISH,CE,60500,15:00:00,15:25:00,2.24,0.0,-100.0,-9965.49,51.62,-10017.11,167273.43,217273.43,10000,4440,STOP_LOSS,29,True,False
2023-04-20,W3,SENSEX,BULLISH,CE,59700,15:05:00,15:20:00,4.1,0.9,-78.08,-7807.95,54.74,-7862.69,159410.74,209410.74,10000,2440,STOP_LOSS,24,True,False
2023-04-27,W2,SENSEX,BULLISH,CE,60700,13:30:00,13:45:00,7.01,3.62,-48.35,-4815.59,58.9,-4874.49,154536.25,204536.25,10000,1420,STOP_LOSS,119,True,False
2023-05-04,W3,SENSEX,BULLISH,CE,61800,15:00:00,15:20:00,4.41,1.19,-73.06,-7279.87,55.42,-7335.29,147200.96,197200.96,10000,2260,STOP_LOSS,29,True,False
2023-05-11,W3,SENSEX,BEARISH,PE,61800,14:50:00,15:00:00,6.8,3.37,-50.42,-5008.3,58.57,-5066.87,142134.09,192134.09,10000,1460,STOP_LOSS,39,True,False
2023-05-18,W3,SENSEX,BEARISH,PE,61400,15:00:00,15:15:00,9.02,3.39,-62.37,-6187.28,56.88,-6244.16,135889.93,185889.93,10000,1100,STOP_LOSS,29,True,False
2023-05-25,W3,SENSEX,BULLISH,CE,61800,14:50:00,15:05:00,12.55,80.24,539.61,52801.44,140.04,52661.4,188551.33,238551.33,10000,780,TARGET_HIT,39,True,False
2023-06-01,W3,SENSEX,BULLISH,CE,62700,14:55:00,15:00:00,1.42,0.08,-94.39,-9427.86,52.43,-9480.29,179071.04,229071.04,10000,7020,STOP_LOSS,34,True,False
2023-06-08,W1,SENSEX,BULLISH,CE,63500,10:20:00,11:10:00,26.42,16.22,-38.62,-3673.89,59.68,-3733.57,175337.47,225337.47,10000,360,STOP_LOSS,309,True,False
2023-06-15,W1,SENSEX,BULLISH,CE,63400,09:55:00,11:05:00,37.92,21.01,-44.59,-4396.02,59.3,-4455.32,170882.15,220882.15,10000,260,STOP_LOSS,334,True,False
2023-06-22,W2,SENSEX,BULLISH,CE,63600,13:20:00,13:40:00,5.32,24.11,353.17,34951.37,115.01,34836.36,205718.51,255718.51,10000,1860,TARGET_HIT,129,True,False
2023-06-22,W3,SENSEX,BEARISH,PE,63200,15:05:00,15:20:00,6.51,2.47,-62.15,-6152.87,56.89,-6209.76,199508.75,249508.75,10000,1520,STOP_LOSS,24,True,False
2023-07-06,W1,SENSEX,BULLISH,CE,65800,10:05:00,12:25:00,25.26,13.38,-47.02,-4513.35,58.65,-4572.0,194936.75,244936.75,10000,380,STOP_LOSS,324,True,False
2023-07-13,W1,SENSEX,BULLISH,CE,66100,09:45:00,12:25:00,35.48,21.14,-40.43,-4016.09,59.98,-4076.07,190860.68,240860.68,10000,280,STOP_LOSS,344,True,False
2023-07-13,W2,SENSEX,BEARISH,PE,65700,13:50:00,14:05:00,8.89,45.06,406.99,40512.6,122.98,40389.62,231250.3,281250.3,10000,1120,TARGET_HIT,99,True,False
2023-07-13,W3,SENSEX,BEARISH,PE,65400,14:50:00,15:05:00,6.7,1.8,-73.2,-7262.33,55.36,-7317.69,223932.61,273932.61,10000,1480,STOP_LOSS,39,True,False
2023-07-20,W1,SENSEX,BEARISH,PE,66700,09:50:00,10:00:00,38.76,15.77,-59.32,-5517.35,56.68,-5574.03,218358.58,268358.58,10000,240,STOP_LOSS,339,True,False
2023-07-20,W3,SENSEX,BULLISH,CE,67600,15:00:00,15:25:00,7.78,0.35,-95.51,-9505.56,52.25,-9557.81,208800.77,258800.77,10000,1280,STOP_LOSS,29,True,False
2023-07-27,W1,SENSEX,BEARISH,PE,66600,10:00:00,11:20:00,36.24,109.41,201.89,19023.78,91.61,18932.17,227732.94,277732.94,10000,260,TARGET_HIT,329,True,False
2023-07-27,W2,SENSEX,BULLISH,CE,66700,13:15:00,13:25:00,8.44,1.69,-80.01,-7965.26,54.43,-8019.69,219713.25,269713.25,10000,1180,STOP_LOSS,134,True,False
2023-07-27,W3,SENSEX,BEARISH,PE,66000,14:50:00,15:00:00,4.63,0.42,-90.95,-9093.77,52.92,-9146.69,210566.56,260566.56,10000,2160,STOP_LOSS,39,True,False
2023-08-03,W1,SENSEX,BEARISH,PE,65400,10:30:00,10:55:00,28.5,13.65,-52.09,-5047.04,58.07,-5105.11,205461.45,255461.45,10000,340,STOP_LOSS,299,True,False
2023-08-03,W3,SENSEX,BULLISH,CE,65200,14:55:00,15:10:00,7.85,70.73,801.5,79232.08,177.6,79054.48,284515.93,334515.93,10000,1260,TARGET_HIT,34,True,False
2023-08-10,W2,SENSEX,BEARISH,PE,65500,13:25:00,14:05:00,8.0,2.43,-69.67,-6907.82,55.85,-6963.67,277552.26,327552.26,10000,1240,STOP_LOSS,124,True,False
2023-08-24,W2,SENSEX,BEARISH,PE,65200,13:15:00,13:30:00,11.91,5.06,-57.53,-5620.21,57.4,-5677.61,271874.65,321874.65,10000,820,STOP_LOSS,134,True,False
2023-08-31,W1,SENSEX,BULLISH,CE,65400,09:35:00,10:05:00,36.91,17.99,-51.25,-4919.13,58.08,-4977.21,266897.44,316897.44,10000,260,STOP_LOSS,354,True,False
2023-08-31,W2,SENSEX,BEARISH,PE,64700,13:15:00,13:25:00,7.02,3.25,-53.68,-5354.17,58.16,-5412.33,261485.11,311485.11,10000,1420,STOP_LOSS,134,True,False
2023-09-14,W1,SENSEX,BEARISH,PE,67400,10:05:00,13:20:00,35.34,21.6,-38.89,-3848.27,60.14,-3908.41,257576.7,307576.7,10000,280,STOP_LOSS,324,True,False
2023-09-14,W3,SENSEX,BULLISH,CE,67600,15:05:00,15:25:00,4.86,0.21,-95.69,-9486.24,52.21,-9538.45,248038.25,298038.25,10000,2040,STOP_LOSS,24,True,False
2023-09-21,W1,SENSEX,BEARISH,PE,66200,09:55:00,15:00:00,40.95,23.27,-43.17,-4242.81,59.46,-4302.27,243735.98,293735.98,10000,240,STOP_LOSS,334,True,False
2023-09-21,W3,SENSEX,BULLISH,CE,66300,15:10:00,15:25:00,4.68,1.16,-75.26,-7465.92,55.07,-7520.99,236214.99,286214.99,10000,2120,STOP_LOSS,19,True,False
2023-10-19,W1,SENSEX,BULLISH,CE,65800,09:55:00,10:15:00,25.89,15.51,-40.1,-3945.45,59.9,-4005.35,232209.64,282209.64,10000,380,STOP_LOSS,334,True,False
2023-10-26,W1,SENSEX,BEARISH,PE,63300,09:40:00,10:55:00,37.69,104.6,177.56,17397.94,90.01,17307.93,249517.57,299517.57,10000,260,TARGET_HIT,349,True,False
2023-10-26,W3,SENSEX,BEARISH,PE,63100,15:00:00,15:10:00,8.4,2.91,-65.29,-6469.47,56.46,-6525.93,242991.64,292991.64,10000,1180,STOP_LOSS,29,True,False
2023-11-02,W3,SENSEX,BULLISH,CE,64200,14:55:00,15:05:00,1.66,0.73,-56.2,-5608.68,57.81,-5666.49,237325.15,287325.15,10000,6000,STOP_LOSS,34,True,False
2023-11-16,W1,SENSEX,BULLISH,CE,65900,09:40:00,11:00:00,42.4,140.5,231.33,21580.64,95.05,21485.59,258810.74,308810.74,10000,220,TARGET_HIT,349,True,False
2023-11-16,W3,SENSEX,BEARISH,PE,66000,15:00:00,15:05:00,1.06,26.01,2348.68,234490.14,397.32,234092.82,492903.56,542903.56,10000,9400,TARGET_HIT,29,True,False
2023-11-23,W1,SENSEX,BEARISH,PE,65900,10:15:00,12:25:00,32.14,14.28,-55.57,-5358.83,57.54,-5416.37,487487.19,537487.19,10000,300,STOP_LOSS,314,True,False
2023-11-30,W1,SENSEX,BEARISH,PE,66500,09:50:00,10:20:00,30.11,18.38,-38.95,-3752.62,59.8,-3812.42,483674.77,533674.77,10000,320,STOP_LOSS,339,True,False
2023-11-30,W3,SENSEX,BULLISH,CE,67100,15:05:00,15:10:00,1.26,0.57,-54.94,-5493.79,58.01,-5551.8,478122.97,528122.97,10000,7920,STOP_LOSS,24,True,False
2023-12-14,W1,SENSEX,BULLISH,CE,70700,09:55:00,10:05:00,43.43,27.98,-35.56,-3397.41,60.15,-3457.56,474665.41,524665.41,10000,220,STOP_LOSS,334,True,False
2023-12-14,W2,SENSEX,BULLISH,CE,70800,13:30:00,13:45:00,7.32,2.27,-69.07,-6880.46,55.98,-6936.44,467728.97,517728.97,10000,1360,STOP_LOSS,119,True,False
2023-12-19,W3,NIFTY,BEARISH,PE,21400,14:55:00,15:00:00,1.36,0.25,-81.69,-8104.24,56.18,-8160.42,459568.55,509568.55,10000,7280,STOP_LOSS,34,True,False
2023-12-21,W1,SENSEX,BULLISH,CE,70400,09:40:00,10:05:00,40.13,108.62,170.68,16438.13,88.34,16349.79,475918.34,525918.34,10000,240,TARGET_HIT,349,True,False
2023-12-21,W2,SENSEX,BEARISH,PE,70500,13:35:00,13:45:00,9.81,3.7,-62.26,-6107.0,56.79,-6163.79,469754.55,519754.55,10000,1000,STOP_LOSS,114,True,False
2023-12-21,W3,SENSEX,BEARISH,PE,70700,15:05:00,15:10:00,2.95,0.03,-98.98,-9855.88,51.76,-9907.64,459846.91,509846.91,10000,3380,STOP_LOSS,24,True,False
2023-12-28,W3,SENSEX,BULLISH,CE,72500,15:00:00,15:15:00,3.91,0.86,-78.04,-7745.78,54.69,-7800.47,452046.44,502046.44,10000,2540,STOP_LOSS,29,True,False
