date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2024-01-09,GAPFADE,NIFTY,BEARISH,PE,21600,09:40:00,10:00:00,29.22,17.58,-39.84,-3783.0,62.1,-3845.1,-3845.1,6154.9,9496.5,325,STOP_LOSS,20,True,False
2024-01-12,GAPFADE,NIFTY,BEARISH,PE,21750,09:15:00,09:55:00,43.1,30.07,-30.23,-2540.85,61.66,-2602.51,-6447.61,3552.39,8404.5,195,STOP_LOSS,40,False,False
2024-01-17,GAPFADE,NIFTY,BULLISH,CE,21850,09:15:00,09:20:00,33.86,14.41,-57.44,-5057.0,58.55,-5115.55,-11563.16,-1563.16,8803.6,260,STOP_LOSS,5,False,False
2024-02-09,GAPFADE,NIFTY,BULLISH,CE,21750,09:25:00,09:35:00,45.67,27.08,-40.71,-3625.05,61.05,-3686.1,-15249.26,-5249.26,8905.65,195,STOP_LOSS,10,False,False
2024-02-16,GAPFADE,NIFTY,BEARISH,PE,22000,09:30:00,09:35:00,41.37,28.04,-32.22,-2599.35,60.83,-2660.18,-17909.44,-7909.44,8067.15,195,STOP_LOSS,5,False,False
2024-02-23,GAPFADE,NIFTY,BEARISH,PE,22250,09:20:00,09:25:00,35.49,43.96,23.87,2202.2,70.99,2131.21,-15778.23,-5778.23,9227.4,260,TARGET_HIT,5,False,False
2024-03-26,GAPFADE,NIFTY,BULLISH,CE,22050,09:15:00,09:20:00,40.3,46.59,15.61,1226.55,66.43,1160.12,-14618.11,-4618.11,7858.5,195,TARGET_HIT,5,True,False
2024-04-16,GAPFADE,NIFTY,BULLISH,CE,22200,09:20:00,09:30:00,30.45,36.44,19.67,1946.75,72.06,1874.69,-12743.42,-2743.42,9896.25,325,TARGET_HIT,10,True,False
2024-04-22,GAPFADE,NIFTY,BEARISH,PE,22250,09:15:00,09:40:00,32.82,51.87,58.04,4953.0,73.83,4879.17,-7864.25,2135.75,8533.2,260,TARGET_HIT,25,False,False
2024-04-26,GAPFADE,NIFTY,BEARISH,PE,22600,09:15:00,10:00:00,43.46,64.4,48.18,4083.3,72.32,4010.98,-3853.27,6146.73,8474.7,195,TARGET_HIT,45,False,False
2024-05-10,GAPFADE,NIFTY,BULLISH,CE,22050,09:25:00,09:35:00,35.55,21.64,-39.13,-3616.6,61.8,-3678.4,-7531.67,2468.33,9243.0,260,STOP_LOSS,10,False,False
2024-05-17,GAPFADE,NIFTY,BEARISH,PE,22350,09:20:00,09:50:00,28.6,18.65,-34.79,-3233.75,62.53,-3296.28,-10827.95,-827.95,9295.0,325,STOP_LOSS,30,False,False
2024-05-31,GAPFADE,NIFTY,BULLISH,CE,22600,09:20:00,09:25:00,45.75,56.14,22.71,2026.05,70.04,1956.01,-8871.94,1128.06,8921.25,195,TARGET_HIT,5,False,False
2024-06-03,GAPFADE,NIFTY,BEARISH,PE,23150,09:15:00,09:20:00,37.87,56.23,48.48,4773.6,76.43,4697.17,-4174.77,5825.23,9846.2,260,TARGET_HIT,5,False,False
2024-06-05,GAPFADE,NIFTY,BEARISH,PE,21950,09:15:00,09:20:00,25.27,150.02,493.67,48652.5,146.0,48506.5,44331.73,54331.73,9855.3,390,TARGET_HIT,5,False,False
2024-06-14,GAPFADE,NIFTY,BEARISH,PE,23400,09:15:00,09:20:00,30.07,66.91,122.51,11973.0,87.68,11885.32,56217.05,66217.05,9772.75,325,TARGET_HIT,5,False,False
2024-06-21,GAPFADE,NIFTY,BEARISH,PE,23600,09:15:00,09:20:00,30.32,37.55,23.85,2349.75,72.61,2277.14,58494.19,68494.19,9854.0,325,TARGET_HIT,5,False,False
2024-07-03,GAPFADE,NIFTY,BEARISH,PE,24250,09:15:00,09:20:00,48.8,31.89,-34.65,-3297.45,62.91,-3360.36,55133.83,65133.83,9516.0,195,STOP_LOSS,5,False,False
2024-07-19,GAPFADE,NIFTY,BEARISH,PE,24750,09:15:00,09:25:00,43.05,29.68,-31.06,-2607.15,61.54,-2668.69,52465.14,62465.14,8394.75,195,STOP_LOSS,10,False,False
