date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2012-01-05,T1,SENSEX,BEARISH,PE,15900,09:22:00,10:10:00,46.7,42.91,-7.93,-56844.0,1268.26,-58112.26,-58112.26,441887.74,700000,15000,FORCE_CLOSE,48,True,False
2012-01-05,T2,SENSEX,BEARISH,PE,15900,11:30:00,11:45:00,38.47,42.91,11.76,80782.88,1462.26,79320.62,21208.36,521208.36,700000,18200,FORCE_CLOSE,15,True,False
2012-01-05,T3,SENSEX,BEARISH,PE,15900,12:45:00,12:55:00,32.56,41.43,27.5,190742.5,1617.69,189124.81,210333.17,710333.17,700000,21500,TARGET_HIT,10,True,False
2012-01-05,T4,SENSEX,BEARISH,PE,15900,14:20:00,14:30:00,22.57,28.72,27.5,190894.41,1618.94,189275.47,399608.64,899608.64,700000,31040,TARGET_HIT,10,True,False
2012-01-06,T1,NIFTY,BEARISH,PE,4700,09:22:00,09:30:00,39.02,33.37,-14.3,-101298.6,1426.77,-102725.37,296883.27,796883.27,700000,17940,STOP_LOSS,8,False,False
2012-01-06,T3,NIFTY,BEARISH,PE,4700,12:45:00,12:53:00,38.23,32.68,-14.34,-101295.08,1422.9,-102717.98,194165.29,694165.29,700000,18265,STOP_LOSS,8,False,False
2012-01-09,T1,NIFTY,BEARISH,PE,4750,09:22:00,10:10:00,29.26,28.81,-1.33,-10717.83,1570.09,-12287.92,181877.37,681877.37,700000,23920,FORCE_CLOSE,48,False,False
2012-01-09,T3,NIFTY,BEARISH,PE,4750,12:45:00,13:20:00,27.67,28.81,4.34,28913.9,1632.24,27281.66,209159.03,709159.03,700000,25285,FORCE_CLOSE,35,False,False
2012-01-12,T1,SENSEX,BEARISH,PE,16100,09:22:00,09:34:00,32.55,41.42,27.5,190861.25,1618.66,189242.59,398401.62,898401.62,700000,21520,TARGET_HIT,12,True,False
2012-01-12,T2,SENSEX,BEARISH,PE,16100,11:30:00,11:40:00,24.93,31.73,27.5,190899.59,1618.98,189280.61,587682.23,1087682.23,700000,28100,TARGET_HIT,10,True,False
2012-01-12,T3,SENSEX,BEARISH,PE,16100,12:45:00,12:55:00,19.51,24.82,27.5,190823.23,1618.35,189204.88,776887.11,1276887.11,700000,35900,TARGET_HIT,10,True,False
2012-01-12,T4,SENSEX,BEARISH,PE,16100,14:20:00,14:30:00,10.49,13.35,27.5,190867.79,1618.72,189249.07,966136.18,1466136.18,700000,66780,TARGET_HIT,10,True,False
2012-01-16,T1,NIFTY,BEARISH,PE,4850,09:22:00,09:30:00,29.85,25.53,-14.29,-101299.45,1427.71,-102727.16,863409.02,1363409.02,700000,23465,STOP_LOSS,8,False,False
2012-01-16,T3,NIFTY,BEARISH,PE,4850,12:45:00,12:53:00,28.34,24.24,-14.3,-101298.51,1426.68,-102725.19,760683.83,1260683.83,700000,24700,STOP_LOSS,8,False,False
2012-01-23,T1,NIFTY,BEARISH,PE,5050,09:22:00,09:30:00,39.56,33.83,-14.31,-101297.43,1425.48,-102722.91,657960.92,1157960.92,700000,17680,STOP_LOSS,8,False,False
2012-01-23,T3,NIFTY,BEARISH,PE,5050,12:45:00,12:53:00,38.24,32.69,-14.33,-101295.45,1423.3,-102718.75,555242.17,1055242.17,700000,18265,STOP_LOSS,8,False,False
2012-01-30,T1,NIFTY,BEARISH,PE,5150,09:22:00,09:34:00,21.58,27.46,27.5,190716.21,1889.64,188826.57,744068.74,1244068.74,700000,32435,TARGET_HIT,12,False,False
2012-01-30,T3,NIFTY,BEARISH,PE,5150,12:45:00,12:55:00,20.03,25.49,27.5,190839.24,1890.83,188948.41,933017.15,1433017.15,700000,34970,TARGET_HIT,10,False,False
2012-02-03,T1,NIFTY,BEARISH,PE,5300,09:22:00,09:30:00,65.44,55.93,-14.35,-101293.69,1421.37,-102715.06,830302.09,1330302.09,700000,10660,STOP_LOSS,8,False,False
2012-02-03,T3,NIFTY,BEARISH,PE,5300,12:45:00,12:53:00,64.6,55.22,-14.36,-101292.77,1420.36,-102713.13,727588.96,1227588.96,700000,10790,STOP_LOSS,8,False,False
2012-02-09,T1,SENSEX,BEARISH,PE,17600,09:22:00,09:30:00,23.33,19.96,-14.29,-101299.53,1205.43,-102504.96,625084.0,1125084.0,700000,30020,STOP_LOSS,8,True,False
2012-02-09,T2,SENSEX,BEARISH,PE,17600,11:30:00,11:38:00,16.04,13.72,-14.29,-101299.51,1205.4,-102504.91,522579.09,1022579.09,700000,43680,STOP_LOSS,8,True,False
2012-02-09,T3,SENSEX,BEARISH,PE,17600,12:45:00,12:53:00,11.09,9.49,-14.29,-101299.63,1205.51,-102505.14,420073.95,920073.95,700000,63160,STOP_LOSS,8,True,False
