date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2023-01-11,RANGE_B,NIFTY,BEARISH,PE,17950,10:30:00,10:35:00,17.27,23.36,35.25,3165.79,71.98,3093.81,3093.81,53093.81,8981.26,520,TARGET_HIT,5,False,False
2023-01-11,RANGE_B,NIFTY,BEARISH,PE,17950,10:40:00,10:50:00,23.87,56.39,136.23,12682.38,87.79,12594.59,15688.4,65688.4,9309.85,390,TARGET_HIT,10,False,False
2023-01-11,RANGE_B,NIFTY,BULLISH,CE,17850,14:15:00,14:25:00,23.43,46.07,96.63,4415.05,64.25,4350.8,20039.2,70039.2,4568.87,195,TARGET_HIT,10,False,False
2023-01-23,RANGE_B,NIFTY,BEARISH,PE,18150,10:25:00,10:55:00,25.02,24.57,-1.83,-178.92,68.39,-247.31,19791.89,69791.89,9759.69,390,BE_STOP,30,False,False
2023-01-23,RANGE_B,NIFTY,BULLISH,CE,18100,12:05:00,12:15:00,27.04,22.21,-17.85,-1569.01,64.05,-1633.06,18158.83,68158.83,8788.29,325,STOP_LOSS,10,False,False
2023-01-23,RANGE_B,NIFTY,BULLISH,CE,18100,12:30:00,12:40:00,24.11,18.33,-23.96,-2253.14,64.32,-2317.46,15841.37,65841.37,9403.73,390,STOP_LOSS,10,False,False
2023-01-23,RANGE_B,NIFTY,BULLISH,CE,18100,12:55:00,13:00:00,14.94,11.43,-23.55,-2287.4,64.95,-2352.35,13489.02,63489.02,9714.06,650,STOP_LOSS,5,False,False
2023-02-06,RANGE_B,NIFTY,BULLISH,CE,17700,10:45:00,10:50:00,35.92,30.85,-14.12,-1318.26,65.66,-1383.92,12105.1,62105.1,9338.53,260,STOP_LOSS,5,False,False
2023-02-06,RANGE_B,NIFTY,BULLISH,CE,17700,11:05:00,11:20:00,34.67,50.01,44.23,3987.31,73.36,3913.95,16019.05,66019.05,9015.16,260,TARGET_HIT,15,False,False
2023-02-06,RANGE_B,NIFTY,BEARISH,PE,17750,13:35:00,13:40:00,11.44,7.62,-33.44,-3233.94,63.35,-3297.29,12721.76,62721.76,9670.37,845,STOP_LOSS,5,False,False
