date,setup,kind,strike,entry_prem,qty,cost,net_pnl,mult_on_capital,peak_mult,exit_reason,pnl
2020-01-07,A,CE,13050,83.74,65,5579.01,6884.79,1.234,3.88,EXPIRY,6884.79
2020-01-07,A,CE,13400,37.79,195,7544.7,-5810.25,-0.77,1.33,EXPIRY,-5810.25
2020-01-14,A,CE,13000,59.72,130,7947.39,13559.69,1.706,4.72,EXPIRY,13559.69
2020-01-14,A,CE,13200,24.43,390,9752.34,15546.56,1.594,3.81,EXPIRY,15546.56
2020-01-21,A,PE,12500,66.65,130,8866.88,13774.29,1.553,4.59,TRAIL,13774.29
2020-01-21,A,PE,12400,43.84,195,8748.79,10074.17,1.151,4.74,TRAIL,10074.17
2020-01-21,A,PE,12250,15.8,585,9565.02,-9144.73,-0.956,1.0,EXPIRY,-9144.73
2020-01-28,A,PE,11350,69.94,130,9303.4,7950.21,0.855,1.94,EXPIRY,7950.21
2020-01-28,A,PE,11200,14.08,650,9506.49,4961.32,0.522,1.62,EXPIRY,4961.32
2020-02-04,A,CE,12550,21.37,455,9980.63,-7433.03,-0.745,1.5,EXPIRY,-7433.03
2020-02-11,A,CE,13800,49.01,195,9777.74,-6355.33,-0.65,1.42,EXPIRY,-6355.33
2020-02-18,A,CE,14600,97.54,65,6494.52,-6089.8,-0.938,1.0,EXPIRY,-6089.8
2020-02-18,A,CE,14550,26.1,325,8681.12,-3623.32,-0.417,1.0,EXPIRY,-3623.32
2020-02-25,A,PE,15600,65.14,130,8666.53,-8683.64,-1.002,1.29,EXPIRY,-8683.64
2020-02-25,A,CE,15900,20.93,455,9780.31,-7137.3,-0.73,1.0,EXPIRY,-7137.3
2020-03-03,A,PE,16100,95.17,65,6337.29,-5587.97,-0.882,1.87,EXPIRY,-5587.97
2020-03-10,A,PE,14850,93.19,65,6205.93,-6226.29,-1.003,1.59,EXPIRY,-6226.29
2020-03-24,A,PE,13700,48.71,195,9718.04,-8859.69,-0.912,1.36,EXPIRY,-8859.69
2020-03-31,A,PE,13500,23.2,390,9272.34,14972.6,1.615,2.74,EXPIRY,14972.6
2020-04-07,A,CE,13000,86.82,65,5783.34,173.24,0.03,1.53,EXPIRY,173.24
2020-04-07,A,PE,12800,46.57,195,9292.13,7969.11,0.858,2.19,TRAIL,7969.11
2020-04-14,A,PE,13050,20.16,455,9429.74,-1689.76,-0.179,1.0,EXPIRY,-1689.76
2020-04-21,A,PE,11400,61.59,130,8195.51,3058.21,0.373,1.81,EXPIRY,3058.21
2020-04-21,A,PE,11350,45.95,195,9168.73,519.18,0.057,1.67,EXPIRY,519.18
2020-04-28,A,CE,11850,81.13,65,5405.86,-5426.21,-1.004,1.0,EXPIRY,-5426.21
2020-05-05,A,PE,10900,53.29,130,7094.24,-7047.75,-0.993,1.12,EXPIRY,-7047.75
2020-05-12,A,PE,10800,40.45,195,8074.1,-8087.97,-1.002,1.0,EXPIRY,-8087.97
2020-05-19,A,CE,11600,34.78,260,9252.98,8109.95,0.876,2.17,TRAIL,8109.95
2020-05-26,A,PE,11100,44.91,195,8961.75,12212.58,1.363,4.57,TRAIL,12212.58
2020-05-26,A,PE,11000,38.62,195,7709.89,11852.44,1.537,2.95,TRAIL,11852.44
2020-05-26,A,PE,10950,18.63,520,9977.38,-6309.66,-0.632,1.0,EXPIRY,-6309.66
2020-06-02,A,CE,11850,66.58,130,8857.59,-8859.13,-1.0,1.53,EXPIRY,-8859.13
2020-06-09,A,CE,11450,69.23,130,9209.2,11366.6,1.234,4.34,EXPIRY,11366.6
2020-06-09,A,CE,11500,56.5,130,7520.15,12089.27,1.608,4.44,EXPIRY,12089.27
2020-06-09,A,CE,11700,28.8,325,9576.73,9743.26,1.017,2.36,TRAIL,9743.26
2020-06-09,A,CE,11800,17.94,520,9618.35,-9616.0,-1.0,1.0,EXPIRY,-9616.0
2020-06-16,A,CE,14000,67.35,130,8959.76,-8976.87,-1.002,1.12,EXPIRY,-8976.87
2020-06-16,A,PE,13700,60.84,130,8095.99,10501.39,1.297,2.41,EXPIRY,10501.39
2020-06-16,A,PE,13600,32.06,260,8531.19,7963.05,0.933,2.03,EXPIRY,7963.05
2020-06-23,A,PE,12950,68.62,130,9128.26,10489.18,1.149,2.47,TRAIL,10489.18
2020-06-23,A,PE,12750,52.35,130,6969.52,9175.5,1.317,2.43,EXPIRY,9175.5
2020-06-23,A,PE,12750,27.29,325,9075.85,15702.77,1.73,4.66,EXPIRY,15702.77
2020-06-30,A,CE,13300,42.31,195,8444.29,7497.92,0.888,1.98,EXPIRY,7497.92
2020-07-07,A,PE,14250,85.78,65,5714.35,9993.4,1.749,4.06,EXPIRY,9993.4
2020-07-07,A,PE,14050,60.53,130,8054.86,6667.07,0.828,2.41,TRAIL,6667.07
2020-07-14,A,PE,13600,49.3,195,9835.46,-9531.98,-0.969,1.0,EXPIRY,-9531.98
2020-07-14,A,CE,13750,33.13,260,8815.13,2308.84,0.262,1.48,EXPIRY,2308.84
2020-07-21,A,CE,14150,57.08,130,7597.11,10400.6,1.369,4.35,EXPIRY,10400.6
2020-07-21,A,CE,14300,47.85,195,9546.88,8950.34,0.938,2.22,TRAIL,8950.34
2020-07-21,A,CE,14450,19.61,455,9179.33,-3274.63,-0.357,1.0,EXPIRY,-3274.63
2020-07-28,A,PE,16250,75.08,130,9985.39,10328.9,1.034,2.82,EXPIRY,10328.9
2020-07-28,A,PE,16150,65.06,130,8655.91,4457.42,0.515,1.59,EXPIRY,4457.42
