date,setup,kind,strike,entry_prem,qty,cost,net_pnl,mult_on_capital,peak_mult,exit_reason
2020-01-07,A,CE,13050,83.74,65,5579.01,11885.3,2.13,3.88,EXPIRY
2020-01-28,A,PE,11350,69.94,130,9303.4,7950.21,0.855,1.94,EXPIRY
2020-02-04,A,CE,12350,68.8,130,9152.15,3808.56,0.416,2.62,EXPIRY
2020-04-28,A,CE,11850,81.13,65,5405.86,-5426.21,-1.004,1.0,EXPIRY
2020-05-05,A,PE,10900,53.29,130,7094.24,-7047.75,-0.993,1.12,EXPIRY
2020-05-12,A,PE,10800,38.15,195,7616.35,-7630.21,-1.002,1.13,EXPIRY
2020-06-23,A,PE,12950,68.62,130,9128.26,28514.12,3.124,4.74,EXPIRY
2020-06-30,A,CE,13100,60.71,130,8078.75,22702.87,2.81,4.54,EXPIRY
2020-07-07,D,CE,14400,135.9,65,9039.37,-9059.72,-1.002,1.58,EXPIRY
2020-08-11,D,PE,15250,122.96,65,8180.91,-4836.96,-0.591,1.44,EXPIRY
2020-09-15,A,CE,20600,110.79,65,7373.54,199.08,0.027,1.39,EXPIRY
2020-10-06,A,CE,16100,82.17,65,5474.85,21917.9,4.003,7.02,EXPIRY
2020-10-27,D,PE,16900,150.0,65,9974.78,-9995.13,-1.002,1.15,EXPIRY
2020-11-03,A,PE,16550,77.62,65,5173.0,9476.56,1.832,5.17,TRAIL
2020-11-10,A,CE,17300,123.25,65,8200.15,10251.02,1.25,2.36,EXPIRY
2021-01-05,A,CE,13950,15.38,585,9319.17,14661.33,1.573,4.19,TRAIL
2021-02-09,A,PE,15600,40.03,195,7990.51,-7313.23,-0.915,1.25,EXPIRY
2021-02-22,C,PE,15300,118.48,65,7883.7,5215.01,0.661,2.22,EOD
2021-03-01,C,PE,15200,132.32,65,8801.86,-7318.57,-0.831,1.05,EOD
2021-03-30,A,PE,16150,36.34,260,9666.95,28788.98,2.978,4.76,EXPIRY
2021-04-05,C,PE,16100,133.69,65,8892.75,3756.95,0.422,1.75,EOD
2021-04-06,A,PE,15800,29.32,325,9749.22,-9756.59,-1.001,2.0,EXPIRY
2021-05-04,A,CE,15950,28.03,325,9321.32,-5606.87,-0.602,1.0,EXPIRY
2021-06-01,A,CE,16250,31.03,260,8257.87,6425.09,0.778,1.86,EXPIRY
2021-06-15,A,PE,16100,39.62,195,7908.91,-4231.46,-0.535,1.87,EXPIRY
2021-06-22,A,CE,16050,17.93,520,9613.15,12282.71,1.278,3.18,TRAIL
2021-06-29,A,CE,15800,46.86,195,9349.84,-4669.74,-0.499,1.0,EXPIRY
2021-07-27,A,PE,15200,25.08,390,10006.62,24453.54,2.444,3.61,EXPIRY
2021-08-17,A,CE,13900,25.98,325,8641.32,43496.33,5.034,10.0,EXPIRY
2021-08-24,A,CE,14400,28.83,325,9586.68,-9594.06,-1.001,1.15,EXPIRY
2021-09-06,C,CE,14900,118.24,65,7867.78,14826.06,1.884,3.02,EOD
2021-09-14,A,CE,15900,32.78,260,8722.25,-8693.94,-0.997,1.0,EXPIRY
2021-09-28,D,CE,16500,56.53,130,7524.13,352.49,0.047,1.19,EXPIRY
2021-10-18,D,PE,16500,100.53,65,6692.88,9774.46,1.46,3.13,EOD
2021-11-08,C,PE,14600,109.24,65,7270.71,7866.34,1.082,2.2,EOD
2021-12-06,C,CE,13550,133.5,65,8880.15,-5671.66,-0.639,1.0,EOD
2021-12-07,A,CE,13400,40.81,195,8145.75,9685.39,1.189,3.32,TRAIL
2021-12-14,A,PE,13550,24.12,390,9631.36,-8093.55,-0.84,2.98,EXPIRY
2022-01-25,A,PE,14100,19.7,455,9220.31,18036.03,1.956,5.66,TRAIL
2022-02-01,A,CE,14550,34.27,260,9117.65,-4678.96,-0.513,2.5,EXPIRY
2022-02-08,A,CE,15050,17.62,520,9451.85,18043.74,1.909,5.81,TRAIL
2022-02-21,D,CE,15350,99.3,65,6611.28,17108.97,2.588,4.19,EOD
2022-02-22,A,CE,15950,38.13,195,7612.37,29585.77,3.887,6.14,EXPIRY
2022-03-01,A,PE,15550,16.4,585,9916.24,-9910.64,-0.999,1.0,EXPIRY
2022-03-08,A,PE,15550,37.23,260,9903.13,-9913.75,-1.001,2.52,EXPIRY
2022-03-15,A,CE,16200,23.88,390,9537.7,14314.2,1.501,5.41,TRAIL
2022-03-29,A,CE,16350,27.94,325,9291.46,-8834.83,-0.951,1.78,EXPIRY
2022-04-26,A,CE,17000,43.81,195,8742.82,-8756.69,-1.002,1.0,EXPIRY
2022-05-03,A,PE,16400,28.12,325,9351.17,-9358.54,-1.001,1.76,EXPIRY
2022-05-24,A,CE,15500,28.16,325,9364.44,26273.57,2.806,4.76,EXPIRY
2022-05-30,C,PE,15300,119.06,65,7922.18,4142.42,0.523,1.6,EOD
2022-06-07,A,CE,14550,12.41,715,9259.98,12242.27,1.322,3.33,TRAIL
2022-07-05,A,PE,12800,22.0,390,8804.05,-8547.3,-0.971,2.4,EXPIRY
2022-07-12,A,CE,12900,23.98,390,9576.73,16024.39,1.673,3.35,EXPIRY
2022-09-13,A,PE,12750,23.15,390,9252.83,-9256.96,-1.0,1.0,EXPIRY
2022-09-27,A,CE,12300,16.61,520,8926.33,-6405.98,-0.718,1.55,EXPIRY
2022-10-11,A,CE,12300,30.05,325,9991.36,7764.04,0.777,1.86,EXPIRY
2022-10-18,A,PE,11950,17.67,520,9477.87,-9475.51,-1.0,1.55,EXPIRY
2022-11-01,A,CE,13100,18.86,455,8837.87,-8838.76,-1.0,1.0,EXPIRY
2022-11-08,A,CE,12550,18.02,520,9659.98,-9657.62,-1.0,1.41,EXPIRY
2022-11-15,A,PE,12300,14.71,650,9916.24,-9907.39,-0.999,1.53,EXPIRY
2022-11-22,A,CE,13150,32.7,260,8701.03,-8711.65,-1.001,1.01,EXPIRY
2022-12-06,A,PE,13100,22.28,390,8913.32,-8847.36,-0.993,2.98,EXPIRY
2022-12-13,A,CE,12800,10.63,845,9434.29,-9415.71,-0.998,1.14,EXPIRY
2022-12-26,C,PE,12950,102.65,65,6833.52,-4634.98,-0.678,1.04,EOD
2023-03-14,A,CE,14250,8.46,1105,9930.55,38884.97,3.916,5.44,EXPIRY
2023-04-18,A,CE,15200,8.79,1040,9691.2,85317.48,8.804,25.72,EXPIRY
2023-05-30,A,CE,16750,12.42,715,9267.14,-9255.04,-0.999,1.0,EXPIRY
2023-07-04,A,PE,16500,20.01,455,9361.45,11615.92,1.241,3.26,TRAIL
2023-07-18,A,PE,16600,15.99,585,9676.24,-9670.64,-0.999,1.0,EXPIRY
2023-08-21,C,CE,17500,89.71,65,5975.07,96.63,0.016,1.94,EOD
2023-08-29,A,CE,18250,14.94,585,9061.61,-9056.01,-0.999,1.84,EXPIRY
2023-10-24,A,CE,20950,23.99,390,9580.63,-9584.76,-1.0,1.45,EXPIRY
2023-11-14,A,CE,20700,14.09,650,9512.99,15177.14,1.595,4.07,TRAIL
2024-01-16,A,PE,23550,35.35,260,9404.24,-6214.16,-0.661,1.06,EXPIRY
2024-02-06,A,PE,22200,21.84,390,8741.61,-7577.6,-0.867,1.44,EXPIRY
2024-02-13,A,PE,22750,27.04,325,8992.93,-9000.3,-1.001,1.02,EXPIRY
2024-03-26,A,PE,22900,26.03,325,8657.9,-8425.16,-0.973,1.82,EXPIRY
2024-05-14,A,CE,22100,35.37,260,9409.55,-9420.17,-1.001,1.36,EXPIRY
2024-06-04,A,PE,21400,72.73,130,9673.59,-9236.42,-0.955,1.0,EXPIRY
2024-06-25,A,CE,21850,37.67,260,10019.89,-9101.19,-0.908,1.09,EXPIRY
2024-07-02,A,PE,22050,18.51,520,9914.94,-9912.58,-1.0,1.84,EXPIRY
2024-08-13,A,CE,22050,28.82,325,9583.36,-9405.78,-0.981,1.0,EXPIRY
2024-09-10,A,PE,21200,27.0,325,8979.66,-8451.64,-0.941,1.0,EXPIRY
2024-09-24,A,PE,20950,10.79,845,9569.57,-9491.94,-0.992,1.21,EXPIRY
2024-10-01,A,CE,21600,23.35,390,9330.88,17129.59,1.836,4.1,TRAIL
2024-10-22,A,PE,21600,18.36,520,9836.89,34722.79,3.53,7.54,EXPIRY
2024-11-12,A,CE,20650,32.15,260,8555.07,-3755.56,-0.439,2.54,EXPIRY
2024-12-10,A,CE,21350,28.07,325,9334.58,23456.75,2.513,4.02,EXPIRY
2024-12-17,A,CE,21500,36.15,260,9616.53,-9627.15,-1.001,1.47,EXPIRY
2024-12-31,A,CE,22300,12.28,780,9998.19,-9982.85,-0.998,1.57,EXPIRY
2025-02-25,A,CE,22350,11.43,780,9334.78,8529.67,0.914,3.85,TRAIL
2025-03-04,A,PE,22200,16.25,585,9828.44,-9822.83,-0.999,1.22,EXPIRY
2025-04-08,A,PE,22000,23.48,390,9381.61,13794.88,1.47,4.21,TRAIL
2025-04-22,A,CE,22400,23.74,390,9483.07,-4288.99,-0.452,1.22,EXPIRY
2025-05-13,A,PE,21600,10.71,845,9501.93,-8200.99,-0.863,2.31,EXPIRY
2025-06-03,A,CE,22300,11.32,845,10017.7,-9999.12,-0.998,1.22,EXPIRY
2025-07-01,A,PE,21900,11.04,845,9780.96,32496.49,3.322,5.3,EXPIRY
2025-07-08,A,CE,22350,14.04,650,9480.47,14366.34,1.515,4.83,TRAIL
2025-07-15,A,CE,22500,21.54,390,8624.54,-8371.68,-0.971,2.55,EXPIRY
2025-07-22,A,PE,22250,18.06,520,9680.79,14440.51,1.492,3.67,TRAIL
2025-07-29,A,PE,22100,14.1,650,9519.49,-9264.04,-0.973,1.11,EXPIRY
2025-08-19,A,CE,23050,15.64,585,9471.36,-9465.76,-0.999,1.0,EXPIRY
2025-10-07,A,PE,21100,26.58,325,8840.34,-8847.72,-1.001,1.0,EXPIRY
2026-01-20,A,CE,23150,28.8,325,9576.73,5901.84,0.616,2.44,EXPIRY
2026-04-14,A,CE,22200,14.44,650,9740.63,34335.57,3.525,6.44,EXPIRY
2026-04-21,A,PE,21600,15.47,585,9371.85,-9366.25,-0.999,1.41,EXPIRY
