date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2019-01-09,RANGE,NIFTY,BEARISH,PE,10850,10:01:00,11:00:00,72.19,83.35,15.46,1451.23,70.15,1381.08,1381.08,101381.08,10000,130,RANGE_BROKEN,59,False,False
2019-04-12,RANGE,NIFTY,BULLISH,CE,11600,10:05:00,11:40:00,84.0,75.0,-10.71,-584.8,58.29,-643.09,737.99,100737.99,10000,65,RANGE_BROKEN,95,False,False
2019-05-29,RANGE,NIFTY,BULLISH,CE,11900,10:00:00,10:19:00,104.68,96.76,-7.57,-515.08,61.35,-576.43,161.56,100161.56,10000,65,RANGE_BROKEN,19,False,False
2019-07-05,RANGE,NIFTY,BULLISH,CE,11950,10:00:00,10:15:00,89.0,80.95,-9.05,-523.23,59.1,-582.33,-420.77,99579.23,10000,65,RANGE_BROKEN,15,False,False
2019-12-06,RANGE,NIFTY,BULLISH,CE,12050,10:02:00,10:16:00,78.54,70.33,-10.46,-534.08,57.59,-591.67,-1012.44,98987.56,10000,65,RANGE_BROKEN,14,False,False
2019-12-13,RANGE,NIFTY,BEARISH,PE,12050,10:07:00,10:17:00,76.16,66.75,-12.35,-1223.12,67.04,-1290.16,-2302.6,97697.4,10000,130,RANGE_BROKEN,10,False,False
2019-12-30,RANGE,NIFTY,BULLISH,CE,12250,10:00:00,11:29:00,50.28,40.53,-19.4,-1901.71,65.76,-1967.47,-4270.07,95729.93,10000,195,RANGE_BROKEN,89,False,False
2020-12-09,RANGE,NIFTY,BEARISH,PE,13500,10:00:00,10:20:00,109.25,102.32,-6.34,-450.1,62.11,-512.21,-4782.28,95217.72,10000,65,RANGE_BROKEN,20,False,False
2020-12-16,RANGE,NIFTY,BULLISH,CE,13650,10:05:00,10:09:00,111.03,102.65,-7.55,-544.76,62.22,-606.98,-5389.26,94610.74,10000,65,RANGE_BROKEN,4,False,False
2021-07-16,RANGE,NIFTY,BULLISH,CE,15950,10:01:00,10:21:00,102.89,88.67,-13.82,-923.95,60.45,-984.4,-6373.66,93626.34,10000,65,RANGE_BROKEN,20,False,False
2023-09-15,RANGE,NIFTY,BEARISH,PE,20150,10:13:00,12:09:00,115.95,101.5,-12.46,-938.74,62.29,-1001.03,-7374.69,92625.31,10000,65,RANGE_BROKEN,116,False,False
2023-10-06,RANGE,NIFTY,BEARISH,PE,19600,10:11:00,10:45:00,112.1,97.84,-12.72,-926.88,61.76,-988.64,-8363.33,91636.67,10000,65,RANGE_BROKEN,34,False,False
2023-11-03,RANGE,NIFTY,BEARISH,PE,19250,10:01:00,13:00:00,109.44,113.46,3.67,261.38,63.27,198.11,-8165.22,91834.78,10000,65,FORCE_CLOSE,179,False,False
2023-11-10,RANGE,NIFTY,BEARISH,PE,19350,10:18:00,10:49:00,113.56,102.89,-9.4,-693.5,62.34,-755.84,-8921.06,91078.94,10000,65,RANGE_BROKEN,31,False,False
