date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2023-01-05,OW2,SENSEX,BEARISH,PE,60500,11:45:00,11:50:00,99.15,145.8,47.35,706356.7,3835.06,702521.64,0.0,10000000.0,1500000,15140,TARGET_HIT,5,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60400,11:50:00,12:00:00,82.21,105.44,28.52,424222.16,3436.27,420785.89,0.0,10000000.0,1500000,18260,TARGET_HIT,10,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60300,12:00:00,12:05:00,53.54,45.57,-14.71,-223453.84,2520.76,-225974.6,0.0,10000000.0,1500000,28040,STOP_LOSS,5,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60400,12:05:00,12:10:00,93.82,84.79,-9.45,-144617.6,2631.9,-147249.5,0.0,10000000.0,1500000,16000,STOP_LOSS,5,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60400,12:10:00,12:20:00,84.95,121.34,43.11,642535.61,3743.31,638792.3,0.0,10000000.0,1500000,17660,TARGET_HIT,10,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60300,12:20:00,12:35:00,62.81,84.38,34.6,515350.68,3565.18,511785.5,0.0,10000000.0,1500000,23900,TARGET_HIT,15,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60300,12:35:00,12:40:00,84.54,110.7,31.2,463984.91,3489.94,460494.97,0.0,10000000.0,1500000,17740,TARGET_HIT,5,True,True
2023-01-05,OW2,SENSEX,BEARISH,PE,60200,12:40:00,12:45:00,54.17,42.36,-21.66,-327317.6,2372.53,-329690.13,0.0,10000000.0,1500000,27700,FORCE_CLOSE,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,13:20:00,13:35:00,52.92,67.98,28.71,427075.51,3439.74,423635.77,0.0,10000000.0,1500000,28360,TARGET_HIT,15,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,13:35:00,13:40:00,68.12,53.09,-21.91,-331287.43,2368.22,-333655.65,0.0,10000000.0,1500000,22040,STOP_LOSS,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,13:40:00,13:45:00,53.19,45.59,-14.11,-214437.57,2533.05,-216970.62,0.0,10000000.0,1500000,28220,STOP_LOSS,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,13:45:00,13:50:00,45.69,32.01,-29.8,-449448.56,2200.97,-451649.53,0.0,10000000.0,1500000,32860,STOP_LOSS,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,13:50:00,13:55:00,32.07,13.24,-58.65,-881491.57,1589.58,-883081.15,0.0,10000000.0,1500000,46800,STOP_LOSS,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60200,13:55:00,14:05:00,46.77,81.91,75.49,1128035.41,4431.49,1123603.92,0.0,10000000.0,1500000,32100,TARGET_HIT,10,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,14:05:00,14:10:00,28.55,41.18,44.53,664099.07,3775.24,660323.83,0.0,10000000.0,1500000,52580,TARGET_HIT,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,14:10:00,14:15:00,41.26,33.8,-17.93,-271578.52,2452.2,-274030.72,0.0,10000000.0,1500000,36380,STOP_LOSS,5,True,True
2023-01-05,OW3,SENSEX,BEARISH,PE,60100,14:15:00,14:20:00,33.86,20.94,-38.04,-572826.69,2025.79,-574852.48,0.0,10000000.0,1500000,44320,FORCE_CLOSE,5,True,True
2023-01-05,OW4,SENSEX,BEARISH,PE,60300,14:45:00,15:00:00,57.23,10.1,-82.32,-1235677.28,1087.87,-1236765.15,0.0,10000000.0,1500000,26220,STOP_LOSS,15,True,True
2023-01-05,OW4,SENSEX,BEARISH,PE,60300,15:00:00,15:05:00,10.12,8.34,-17.41,-263852.33,2463.75,-266316.08,0.0,10000000.0,1500000,148360,STOP_LOSS,5,True,True
2023-01-05,OW4,SENSEX,BEARISH,PE,60300,15:05:00,15:10:00,8.36,6.08,-27.07,-408580.4,2259.24,-410839.64,0.0,10000000.0,1500000,179640,STOP_LOSS,5,True,True
2023-01-05,OW4,SENSEX,BEARISH,PE,60300,15:10:00,15:15:00,6.1,0.45,-92.61,-1390742.8,870.42,-1391613.22,0.0,10000000.0,1500000,246300,STOP_LOSS,5,True,True
2023-01-05,OW4,SENSEX,BEARISH,PE,60400,15:15:00,15:20:00,21.97,49.97,127.88,1912825.41,5541.02,1907284.39,0.0,10000000.0,1500000,68320,FORCE_CLOSE,5,True,True
2023-01-05,T2,SENSEX,BEARISH,PE,60500,11:30:00,11:40:00,94.08,82.68,-11.95,-181823.59,2576.54,-184400.13,-184400.13,9815599.87,1500000,15940,STOP_LOSS,10,True,False
2023-01-05,T3,SENSEX,BEARISH,PE,60200,12:45:00,13:15:00,42.44,72.55,71.27,1064512.09,4340.84,1060171.25,875771.12,10875771.12,1500000,35360,TARGET_HIT,30,True,False
2023-01-05,T3,SENSEX,BEARISH,PE,60200,13:15:00,13:20:00,72.69,114.39,57.67,860541.04,4051.7,856489.34,1732260.46,11732260.46,1500000,20640,FORCE_CLOSE,5,True,False
