date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2024-01-09,STRANGLE,NIFTY,NEUTRAL,SE,21650,09:15:00,11:20:00,38.36,26.23,31.62,788.45,51.44,737.01,737.01,50737.01,50000,65,DECAY_TARGET,125,True,False
2024-01-19,STRANGLE,NIFTY,NEUTRAL,SE,21600,09:15:00,11:05:00,38.73,25.38,34.47,867.75,51.36,816.39,1553.4,51553.4,50000,65,DECAY_TARGET,110,False,False
2024-01-24,STRANGLE,NIFTY,NEUTRAL,SE,21200,09:15:00,09:50:00,36.91,62.58,-69.55,-1668.55,55.12,-1723.67,-170.27,49829.73,50000,65,STOP_LOSS,35,False,False
2024-01-29,STRANGLE,NIFTY,NEUTRAL,SE,21450,09:15:00,09:55:00,38.03,71.33,-87.56,-2164.5,56.07,-2220.57,-2390.84,47609.16,50000,65,STOP_LOSS,40,False,False
2024-01-30,STRANGLE,NIFTY,NEUTRAL,SE,21800,09:15:00,11:05:00,40.01,68.91,-72.23,-1878.5,55.9,-1934.4,-4325.24,45674.76,50000,65,STOP_LOSS,110,True,False
2024-01-31,STRANGLE,NIFTY,NEUTRAL,SE,21500,09:15:00,10:30:00,37.98,66.45,-74.96,-1850.55,55.56,-1906.11,-6231.35,43768.65,50000,65,STOP_LOSS,75,False,False
2024-02-02,STRANGLE,NIFTY,NEUTRAL,SE,21800,09:15:00,09:20:00,39.35,85.49,-117.26,-2999.1,57.58,-3056.68,-9288.03,40711.97,50000,65,STOP_LOSS,5,False,False
2024-02-05,STRANGLE,NIFTY,NEUTRAL,SE,21900,09:15:00,10:50:00,40.43,28.12,30.45,800.15,51.71,748.44,-8539.59,41460.41,50000,65,DECAY_TARGET,95,False,False
2024-02-06,STRANGLE,NIFTY,NEUTRAL,SE,21850,09:15:00,10:55:00,40.27,27.19,32.48,850.2,51.61,798.59,-7741.0,42259.0,50000,65,DECAY_TARGET,100,True,False
2024-02-13,STRANGLE,NIFTY,NEUTRAL,SE,21650,09:15:00,12:00:00,38.86,22.78,41.38,1045.2,51.1,994.1,-6746.9,43253.1,50000,65,DECAY_TARGET,165,True,False
2024-02-14,STRANGLE,NIFTY,NEUTRAL,SE,21600,09:15:00,11:10:00,39.0,24.74,36.56,926.9,51.31,875.59,-5871.31,44128.69,50000,65,DECAY_TARGET,115,False,False
2024-02-16,STRANGLE,NIFTY,NEUTRAL,SE,22000,09:15:00,11:20:00,40.75,27.7,32.02,848.25,51.68,796.57,-5074.74,44925.26,50000,65,DECAY_TARGET,125,False,False
2024-02-23,STRANGLE,NIFTY,NEUTRAL,SE,22300,09:15:00,11:35:00,41.03,28.16,31.37,836.55,51.74,784.81,-4289.93,45710.07,50000,65,DECAY_TARGET,140,False,False
2024-03-01,STRANGLE,NIFTY,NEUTRAL,SE,22050,09:15:00,09:40:00,39.88,64.88,-62.69,-1625.0,55.48,-1680.48,-5970.41,44029.59,50000,65,STOP_LOSS,25,False,False
2024-03-04,STRANGLE,NIFTY,NEUTRAL,SE,22400,09:15:00,11:05:00,41.34,27.82,32.7,878.8,51.72,827.08,-5143.33,44856.67,50000,65,DECAY_TARGET,110,False,False
2024-03-11,STRANGLE,NIFTY,NEUTRAL,SE,22500,09:15:00,13:20:00,42.49,27.83,34.5,952.9,51.77,901.13,-4242.2,45757.8,50000,65,DECAY_TARGET,245,False,False
